,num,list,cond,lang,type,mat_dur,correct_key,exp_num,cs,exp1_key.keys,exp1_key.rt,exp1_key.corr,exp2_key.keys,exp2_key.rt,participant,group,prof
29,11,l1,t,es,na,0.944375,lshift,1,,rshift,3.217890292,0,,,65,exp_g1,2
6,12,l1,t,es,na,0.823703,rshift,1,,rshift,2.798144125,1,,,65,exp_g1,2
5,13,l1,t,es,na,1.352093,lshift,1,,lshift,2.998631833,1,,,65,exp_g1,2
11,14,l1,t,es,na,0.788685,rshift,1,,rshift,2.366582041,1,,,65,exp_g1,2
35,15,l1,t,es,na,0.882114,lshift,1,,lshift,2.132350708,1,,,65,exp_g1,2
17,16,l1,t,es,na,1.694902,rshift,1,,rshift,2.959787459,1,,,65,exp_g1,2
26,17,l1,t,es,na,1.328805,lshift,1,,lshift,2.69643575,1,,,65,exp_g1,2
21,18,l1,t,es,na,0.900375,rshift,1,,lshift,2.986363959,0,,,65,exp_g1,2
14,19,l1,t,es,na,1.44153,lshift,1,,lshift,2.885078416,1,,,65,exp_g1,2
20,20,l1,t,es,na,0.99676,rshift,1,,rshift,2.496069708,1,,,65,exp_g1,2
65,21,l2,t,es,na,0.704021,,2,1,,NA,NA,"['lshift', 'rshift']","[1.4021329999668524, 2.3011028750333935]",65,exp_g1,2
49,22,l2,t,es,na,0.863963,,2,1,,NA,NA,"['lshift', 'rshift']","[1.4183799580205232, 2.232183458050713]",65,exp_g1,2
67,23,l2,t,es,na,0.806296,,2,1,,NA,NA,"['lshift', 'rshift']","[1.4335817500250414, 2.4953123750165105]",65,exp_g1,2
46,24,l2,t,es,na,0.817267,,2,1,,NA,NA,"['lshift', 'rshift']","[1.5290921670384705, 2.2299840840278193]",65,exp_g1,2
58,25,l2,t,es,na,0.909694,,2,1,,NA,NA,"['lshift', 'rshift']","[1.219341333140619, 2.1818235410610214]",65,exp_g1,2
68,26,l2,t,es,na,0.977641,,2,1,,NA,NA,"['lshift', 'rshift']","[1.3035295420559123, 2.5152005000272766]",65,exp_g1,2
43,27,l2,t,es,na,0.619246,,2,1,,NA,NA,"['lshift', 'rshift']","[1.3267213749932125, 1.9446583340177312]",65,exp_g1,2
56,28,l2,t,es,na,0.937816,,2,1,,NA,NA,"['lshift', 'rshift']","[1.6363327910657972, 2.4273176250280812]",65,exp_g1,2
40,29,l2,t,es,na,1.122001,,2,1,,NA,NA,"['lshift', 'rshift']","[1.2588738750200719, 2.553305583074689]",65,exp_g1,2
59,30,l2,t,es,na,1.133667,,2,1,,NA,NA,"['lshift', 'rshift']","[1.2566600840073079, 2.505818459088914]",65,exp_g1,2
13,61,l1,f,en,na,-,rshift,1,,rshift,1.596830208,1,,,65,exp_g1,2
30,62,l1,f,en,na,-,lshift,1,,lshift,2.23349075,1,,,65,exp_g1,2
33,63,l1,f,en,na,0.351376,rshift,1,,rshift,1.796138625,1,,,65,exp_g1,2
9,64,l1,f,en,na,0.428572,lshift,1,,lshift,1.923029708,1,,,65,exp_g1,2
16,65,l1,f,en,na,-,rshift,1,,rshift,1.794746875,1,,,65,exp_g1,2
18,66,l1,f,en,na,0.780001,lshift,1,,lshift,2.252674792,1,,,65,exp_g1,2
