"","num","list","type","exp1_key.keys","exp1_key.rt","exp1_key.corr","exp2_key.keys","exp2_key.rt","participant","group","cor_rate","prof"
"1","27","l2","na","lshift","[1.9469360000221059]",1,"","",28,"exp_g2",0.65,3
"2","147","l2","f0u","None","",0,"","",28,"exp_g2",0.65,3
"3","149","l2","f0u","lshift","[2.717288749990985]",1,"","",28,"exp_g2",0.65,3
"4","29","l2","na","None","",0,"","",28,"exp_g2",0.65,3
"5","145","l2","f0u","lshift","[2.04098366596736]",1,"","",28,"exp_g2",0.65,3
"6","23","l2","na","lshift","[2.211712332908064]",1,"","",28,"exp_g2",0.65,3
"7","148","l2","f0u","rshift","[2.9776805829023942]",1,"","",28,"exp_g2",0.65,3
"8","144","l2","f0u","rshift","[2.6319341249763966]",1,"","",28,"exp_g2",0.65,3
"9","143","l2","f0u","None","",0,"","",28,"exp_g2",0.65,3
"10","142","l2","f0u","None","",0,"","",28,"exp_g2",0.65,3
"11","26","l2","na","rshift","[2.318483958952129]",1,"","",28,"exp_g2",0.65,3
"12","25","l2","na","None","",0,"","",28,"exp_g2",0.65,3
"13","146","l2","f0u","rshift","[3.022894666995853]",1,"","",28,"exp_g2",0.65,3
"14","141","l2","f0u","lshift","[2.043692750041373]",1,"","",28,"exp_g2",0.65,3
"15","22","l2","na","rshift","[2.0187132919672877]",1,"","",28,"exp_g2",0.65,3
"16","24","l2","na","None","",0,"","",28,"exp_g2",0.65,3
"17","28","l2","na","rshift","[1.9528775829821825]",1,"","",28,"exp_g2",0.65,3
"18","30","l2","na","rshift","[2.468942000064999]",1,"","",28,"exp_g2",0.65,3
"19","21","l2","na","lshift","[2.186440792051144]",1,"","",28,"exp_g2",0.65,3
"20","150","l2","f0u","lshift","[1.8040941670769826]",0,"","",28,"exp_g2",0.65,3
