,num,list,type,exp1_key.keys,exp1_key.rt,exp1_key.corr,participant,group,cor_rate,prof
1,27,l2,na,lshift,1.946936,1,28,exp_g2,0.65,3
2,147,l2,f0u,None,,0,28,exp_g2,0.65,3
3,149,l2,f0u,lshift,2.71728875,1,28,exp_g2,0.65,3
4,29,l2,na,None,,0,28,exp_g2,0.65,3
5,145,l2,f0u,lshift,2.040983666,1,28,exp_g2,0.65,3
6,23,l2,na,lshift,2.211712333,1,28,exp_g2,0.65,3
7,148,l2,f0u,rshift,2.977680583,1,28,exp_g2,0.65,3
8,144,l2,f0u,rshift,2.631934125,1,28,exp_g2,0.65,3
9,143,l2,f0u,None,,0,28,exp_g2,0.65,3
10,142,l2,f0u,None,,0,28,exp_g2,0.65,3
11,26,l2,na,rshift,2.318483959,1,28,exp_g2,0.65,3
12,25,l2,na,None,,0,28,exp_g2,0.65,3
13,146,l2,f0u,rshift,3.022894667,1,28,exp_g2,0.65,3
14,141,l2,f0u,lshift,2.04369275,1,28,exp_g2,0.65,3
15,22,l2,na,rshift,2.018713292,1,28,exp_g2,0.65,3
16,24,l2,na,None,,0,28,exp_g2,0.65,3
17,28,l2,na,rshift,1.952877583,1,28,exp_g2,0.65,3
18,30,l2,na,rshift,2.468942,1,28,exp_g2,0.65,3
19,21,l2,na,lshift,2.186440792,1,28,exp_g2,0.65,3
20,150,l2,f0u,lshift,1.804094167,0,28,exp_g2,0.65,3
