"","num","list","cond","lang","type","mat_dur","exp1_key.keys","exp1_key.rt","exp1_key.corr","cor_rate","participant","group","prof","rt"
"1",21,"l2","t","es","na",0.704021,"lshift",2.5458,1,0.833333333333333,62,"exp_g2",5,1.841779
"2",22,"l2","t","es","na",0.863963,"rshift",2.353,1,0.833333333333333,62,"exp_g2",5,1.489037
"3",24,"l2","t","es","na",0.817267,"rshift",2.9391,1,0.833333333333333,62,"exp_g2",5,2.121833
"4",26,"l2","t","es","na",0.977641,"rshift",2.3069,1,0.833333333333333,62,"exp_g2",5,1.329259
"5",27,"l2","t","es","na",0.619246,"lshift",2.0148,1,0.833333333333333,62,"exp_g2",5,1.395554
"6",28,"l2","t","es","na",0.937816,"rshift",3.0101,1,0.833333333333333,62,"exp_g2",5,2.072284
"7",30,"l2","t","es","na",1.133667,"rshift",2.6326,1,0.833333333333333,62,"exp_g2",5,1.498933
"8",98,"l2","f","en","na",0.376142,"rshift",2.0228,1,0.833333333333333,62,"exp_g2",5,1.646658
"9",99,"l2","f","en","na",0.462405,"lshift",1.8068,1,0.833333333333333,62,"exp_g2",5,1.344395
"10",101,"l2","f","en","na",0.924484,"lshift",2.4624,1,0.833333333333333,62,"exp_g2",5,1.537916
"11",102,"l2","f","en","na",1.021105,"rshift",2.5086,1,0.833333333333333,62,"exp_g2",5,1.487495
"12",103,"l2","f","en","na",0.594925,"lshift",2.2118,1,0.833333333333333,62,"exp_g2",5,1.616875
"13",106,"l2","f","en","na",1.203962,"rshift",2.7429,1,0.833333333333333,62,"exp_g2",5,1.538938
"14",107,"l2","f","en","na",0.740095,"lshift",2.0126,1,0.833333333333333,62,"exp_g2",5,1.272505
"15",108,"l2","f","en","na",0.818995,"rshift",2.6101,1,0.833333333333333,62,"exp_g2",5,1.791105
"16",109,"l2","f","en","na",0.344097,"lshift",2.0421,1,0.833333333333333,62,"exp_g2",5,1.698003
"17",110,"l2","f","en","na",0.973278,"rshift",2.2648,1,0.833333333333333,62,"exp_g2",5,1.291522
"18",151,"l1","t","es","f0c",0.7884375,"lshift",2.1745,1,0.833333333333333,62,"exp_g2",5,1.3860625
"19",152,"l1","t","es","f0c",0.92128125,"rshift",2.2763,1,0.833333333333333,62,"exp_g2",5,1.35501875
"20",153,"l1","t","es","f0c",0.77825,"lshift",2.4563,1,0.833333333333333,62,"exp_g2",5,1.67805
"21",155,"l1","t","es","f0c",0.8595,"lshift",2.2284,1,0.833333333333333,62,"exp_g2",5,1.3689
"22",157,"l1","t","es","f0c",0.635125,"lshift",2.1202,1,0.833333333333333,62,"exp_g2",5,1.485075
"23",158,"l1","t","es","f0c",0.9708125,"rshift",2.4279,1,0.833333333333333,62,"exp_g2",5,1.4570875
"24",159,"l1","t","es","f0c",1.1799375,"lshift",2.6397,1,0.833333333333333,62,"exp_g2",5,1.4597625
"25",160,"l1","t","es","f0c",1.108625,"rshift",3.0168,1,0.833333333333333,62,"exp_g2",5,1.908175
