"","num","list","cond","lang","type","mat_dur","exp1_key.keys","exp1_key.rt","exp1_key.corr","participant","group","prof","cor_rate","rt"
"1",11,"l1","t","es","na",0.944375,"lshift",2.500446749,1,"AJ","exp_g1",60,1,1.556071749
"2",12,"l1","t","es","na",0.823703,"rshift",3.357351583,1,"AJ","exp_g1",60,1,2.533648583
"3",13,"l1","t","es","na",1.352093,"lshift",3.0665545,1,"AJ","exp_g1",60,1,1.7144615
"4",14,"l1","t","es","na",0.788685,"rshift",2.604569875,1,"AJ","exp_g1",60,1,1.815884875
"5",15,"l1","t","es","na",0.882114,"lshift",2.516599874,1,"AJ","exp_g1",60,1,1.634485874
"6",16,"l1","t","es","na",1.694902,"rshift",3.343350749,1,"AJ","exp_g1",60,1,1.648448749
"7",17,"l1","t","es","na",1.328805,"lshift",3.192526541,1,"AJ","exp_g1",60,1,1.863721541
"8",18,"l1","t","es","na",0.900375,"rshift",2.890337082,1,"AJ","exp_g1",60,1,1.989962082
"9",19,"l1","t","es","na",1.44153,"lshift",3.084810458,1,"AJ","exp_g1",60,1,1.643280458
"10",20,"l1","t","es","na",0.99676,"rshift",2.730648041,1,"AJ","exp_g1",60,1,1.733888041
"11",63,"l1","f","en","na",0.351376,"rshift",2.392188666,1,"AJ","exp_g1",60,1,2.040812666
"12",64,"l1","f","en","na",0.428572,"lshift",2.022300833,1,"AJ","exp_g1",60,1,1.593728833
"13",66,"l1","f","en","na",0.780001,"lshift",2.704256499,1,"AJ","exp_g1",60,1,1.924255499
"14",67,"l1","f","en","na",0.950804,"rshift",2.567232166,1,"AJ","exp_g1",60,1,1.616428166
"15",68,"l1","f","en","na",0.600784,"lshift",3.172904624,1,"AJ","exp_g1",60,1,2.572120624
"16",71,"l1","f","en","na",1.261129,"rshift",3.111422166,1,"AJ","exp_g1",60,1,1.850293166
"17",72,"l1","f","en","na",0.83156,"lshift",2.454176958,1,"AJ","exp_g1",60,1,1.622616958
"18",73,"l1","f","en","na",0.877576,"rshift",2.628897208,1,"AJ","exp_g1",60,1,1.751321208
"19",75,"l1","f","en","na",0.913493,"rshift",2.628235083,1,"AJ","exp_g1",60,1,1.714742083
"20",131,"l1","t","es","f0u",0.7884375,"lshift",2.375052624,1,"AJ","exp_g1",60,1,1.586615124
"21",132,"l1","t","es","f0u",0.92128125,"rshift",2.606264541,1,"AJ","exp_g1",60,1,1.684983291
"22",133,"l1","t","es","f0u",0.77825,"lshift",2.63389675,1,"AJ","exp_g1",60,1,1.85564675
"23",134,"l1","t","es","f0u",0.91259375,"rshift",3.307564208,1,"AJ","exp_g1",60,1,2.394970458
"24",135,"l1","t","es","f0u",0.8595,"lshift",2.541163083,1,"AJ","exp_g1",60,1,1.681663083
"25",136,"l1","t","es","f0u",0.974875,"rshift",3.285779832,1,"AJ","exp_g1",60,1,2.310904832
"26",137,"l1","t","es","f0u",0.635125,"lshift",2.7891955,1,"AJ","exp_g1",60,1,2.1540705
"27",138,"l1","t","es","f0u",0.9708125,"rshift",2.707920916,1,"AJ","exp_g1",60,1,1.737108416
"28",139,"l1","t","es","f0u",1.1799375,"lshift",3.084343583,1,"AJ","exp_g1",60,1,1.904406083
"29",140,"l1","t","es","f0u",1.108625,"rshift",3.131078541,1,"AJ","exp_g1",60,1,2.022453541
