"","num","list","cond","lang","type","mat_dur","exp1_key.keys","exp1_key.rt","exp1_key.corr","participant","group","prof","cor_rate","rt"
"1",12,"l1","t","es","na",0.823703,"rshift",3.280505917,1,"KF2","exp_g1",49,0.966666666666667,2.456802917
"2",14,"l1","t","es","na",0.788685,"rshift",2.859739583,1,"KF2","exp_g1",49,0.966666666666667,2.071054583
"3",15,"l1","t","es","na",0.882114,"lshift",3.003727375,1,"KF2","exp_g1",49,0.966666666666667,2.121613375
"4",16,"l1","t","es","na",1.694902,"rshift",3.650478208,1,"KF2","exp_g1",49,0.966666666666667,1.955576208
"5",17,"l1","t","es","na",1.328805,"lshift",3.418575833,1,"KF2","exp_g1",49,0.966666666666667,2.089770833
"6",18,"l1","t","es","na",0.900375,"rshift",2.984926083,1,"KF2","exp_g1",49,0.966666666666667,2.084551083
"7",19,"l1","t","es","na",1.44153,"lshift",3.690241333,1,"KF2","exp_g1",49,0.966666666666667,2.248711333
"8",20,"l1","t","es","na",0.99676,"rshift",3.018874042,1,"KF2","exp_g1",49,0.966666666666667,2.022114042
"9",63,"l1","f","en","na",0.351376,"rshift",2.621105166,1,"KF2","exp_g1",49,0.966666666666667,2.269729166
"10",64,"l1","f","en","na",0.428572,"lshift",2.391459458,1,"KF2","exp_g1",49,0.966666666666667,1.962887458
"11",66,"l1","f","en","na",0.780001,"lshift",3.213824,1,"KF2","exp_g1",49,0.966666666666667,2.433823
"12",67,"l1","f","en","na",0.950804,"rshift",2.83763775,1,"KF2","exp_g1",49,0.966666666666667,1.88683375
"13",68,"l1","f","en","na",0.600784,"lshift",3.533618333,1,"KF2","exp_g1",49,0.966666666666667,2.932834333
"14",71,"l1","f","en","na",1.261129,"rshift",3.20397925,1,"KF2","exp_g1",49,0.966666666666667,1.94285025
"15",72,"l1","f","en","na",0.83156,"lshift",3.636055875,1,"KF2","exp_g1",49,0.966666666666667,2.804495875
"16",73,"l1","f","en","na",0.877576,"rshift",2.699390292,1,"KF2","exp_g1",49,0.966666666666667,1.821814292
"17",74,"l1","f","en","na",0.396484,"lshift",2.20972075,1,"KF2","exp_g1",49,0.966666666666667,1.81323675
"18",75,"l1","f","en","na",0.913493,"rshift",3.318268,1,"KF2","exp_g1",49,0.966666666666667,2.404775
"19",131,"l1","t","es","f0u",0.7884375,"lshift",3.581879958,1,"KF2","exp_g1",49,0.966666666666667,2.793442458
"20",132,"l1","t","es","f0u",0.92128125,"rshift",2.857974625,1,"KF2","exp_g1",49,0.966666666666667,1.936693375
"21",133,"l1","t","es","f0u",0.77825,"lshift",4.099327666,1,"KF2","exp_g1",49,0.966666666666667,3.321077666
"22",134,"l1","t","es","f0u",0.91259375,"rshift",2.951045375,1,"KF2","exp_g1",49,0.966666666666667,2.038451625
"23",135,"l1","t","es","f0u",0.8595,"lshift",3.009473416,1,"KF2","exp_g1",49,0.966666666666667,2.149973416
"24",136,"l1","t","es","f0u",0.974875,"rshift",4.186207417,1,"KF2","exp_g1",49,0.966666666666667,3.211332417
"25",137,"l1","t","es","f0u",0.635125,"lshift",3.634032334,1,"KF2","exp_g1",49,0.966666666666667,2.998907334
"26",138,"l1","t","es","f0u",0.9708125,"rshift",3.037374042,1,"KF2","exp_g1",49,0.966666666666667,2.066561542
"27",139,"l1","t","es","f0u",1.1799375,"lshift",3.382558375,1,"KF2","exp_g1",49,0.966666666666667,2.202620875
"28",140,"l1","t","es","f0u",1.108625,"rshift",3.321675584,1,"KF2","exp_g1",49,0.966666666666667,2.213050584
