"","num","list","cond","lang","type","mat_dur","exp1_key.keys","exp1_key.rt","exp1_key.corr","participant","group","prof","cor_rate","rt"
"1",11,"l1","t","es","na",0.944375,"lshift",2.593435709,1,70,"exp_g1",60,0.933333333333333,1.649060709
"2",12,"l1","t","es","na",0.823703,"rshift",2.46347675,1,70,"exp_g1",60,0.933333333333333,1.63977375
"3",13,"l1","t","es","na",1.352093,"lshift",2.779935292,1,70,"exp_g1",60,0.933333333333333,1.427842292
"4",14,"l1","t","es","na",0.788685,"rshift",2.210794209,1,70,"exp_g1",60,0.933333333333333,1.422109209
"5",15,"l1","t","es","na",0.882114,"lshift",2.18238775,1,70,"exp_g1",60,0.933333333333333,1.30027375
"6",16,"l1","t","es","na",1.694902,"rshift",2.96313275,1,70,"exp_g1",60,0.933333333333333,1.26823075
"7",17,"l1","t","es","na",1.328805,"lshift",2.770569625,1,70,"exp_g1",60,0.933333333333333,1.441764625
"8",18,"l1","t","es","na",0.900375,"rshift",2.894906709,1,70,"exp_g1",60,0.933333333333333,1.994531709
"9",19,"l1","t","es","na",1.44153,"lshift",2.820578292,1,70,"exp_g1",60,0.933333333333333,1.379048292
"10",20,"l1","t","es","na",0.99676,"rshift",2.572012583,1,70,"exp_g1",60,0.933333333333333,1.575252583
"11",63,"l1","f","en","na",0.351376,"rshift",1.976302792,1,70,"exp_g1",60,0.933333333333333,1.624926792
"12",64,"l1","f","en","na",0.428572,"lshift",1.810897167,1,70,"exp_g1",60,0.933333333333333,1.382325167
"13",66,"l1","f","en","na",0.780001,"lshift",2.192940292,1,70,"exp_g1",60,0.933333333333333,1.412939292
"14",67,"l1","f","en","na",0.950804,"rshift",2.260177334,1,70,"exp_g1",60,0.933333333333333,1.309373334
"15",68,"l1","f","en","na",0.600784,"lshift",3.084914917,1,70,"exp_g1",60,0.933333333333333,2.484130917
"16",71,"l1","f","en","na",1.261129,"rshift",2.601546375,1,70,"exp_g1",60,0.933333333333333,1.340417375
"17",72,"l1","f","en","na",0.83156,"lshift",1.877169542,1,70,"exp_g1",60,0.933333333333333,1.045609542
"18",73,"l1","f","en","na",0.877576,"rshift",2.478935875,1,70,"exp_g1",60,0.933333333333333,1.601359875
"19",74,"l1","f","en","na",0.396484,"lshift",1.89012575,1,70,"exp_g1",60,0.933333333333333,1.49364175
"20",131,"l1","t","es","f0u",0.7884375,"lshift",2.0287505,1,70,"exp_g1",60,0.933333333333333,1.240313
"21",132,"l1","t","es","f0u",0.92128125,"rshift",2.336832625,1,70,"exp_g1",60,0.933333333333333,1.415551375
"22",134,"l1","t","es","f0u",0.91259375,"rshift",2.467118958,1,70,"exp_g1",60,0.933333333333333,1.554525208
"23",135,"l1","t","es","f0u",0.8595,"lshift",2.251981375,1,70,"exp_g1",60,0.933333333333333,1.392481375
"24",136,"l1","t","es","f0u",0.974875,"rshift",3.02122675,1,70,"exp_g1",60,0.933333333333333,2.04635175
"25",137,"l1","t","es","f0u",0.635125,"lshift",2.588040458,1,70,"exp_g1",60,0.933333333333333,1.952915458
"26",138,"l1","t","es","f0u",0.9708125,"rshift",2.439437459,1,70,"exp_g1",60,0.933333333333333,1.468624959
"27",139,"l1","t","es","f0u",1.1799375,"lshift",2.357301417,1,70,"exp_g1",60,0.933333333333333,1.177363917
"28",140,"l1","t","es","f0u",1.108625,"rshift",3.361993876,1,70,"exp_g1",60,0.933333333333333,2.253368876
