"","num","list","cond","lang","type","mat_dur","exp_num","participant","group","prof","cor_rate","rt_cs","rt_mat"
"1",11,"l1","t","es","na",0.944375,2,29,"exp_g2",0,0.6,1.36529999995219,1.8051249999999
"2",13,"l1","t","es","na",1.352093,2,29,"exp_g2",0,0.6,1.45000000000005,1.41560699992848
"3",14,"l1","t","es","na",0.788685,2,29,"exp_g2",0,0.6,1.00329999995233,1.43261499995241
"4",15,"l1","t","es","na",0.882114,2,29,"exp_g2",0,0.6,0.933600000023716,2.02088600000002
"5",16,"l1","t","es","na",1.694902,2,29,"exp_g2",0,0.6,1.91599999999994,1.48949799997599
"6",17,"l1","t","es","na",1.328805,2,29,"exp_g2",0,0.6,1.58289999997623,1.45309499997608
"7",18,"l1","t","es","na",0.900375,2,29,"exp_g2",0,0.6,1.34480000007147,1.81462499999992
"8",19,"l1","t","es","na",1.44153,2,29,"exp_g2",0,0.6,1.28289999997605,1.31017000004755
"9",20,"l1","t","es","na",0.99676,2,29,"exp_g2",0,0.6,1.38350000000014,1.59263999997619
"10",142,"l2","t","es","f0u",0.73509375,2,29,"exp_g2",0,0.6,1.08770000004756,1.63560625004769
"11",143,"l2","t","es","f0u",1.55846875,2,29,"exp_g2",0,0.6,1.58389999997598,1.47963124990449
"12",144,"l2","t","es","f0u",0.69834375,2,29,"exp_g2",0,0.6,0.687999999999874,1.4912562500238
"13",145,"l2","t","es","f0u",0.825,2,29,"exp_g2",0,0.6,0.383499999999913,2.27460000002388
"14",146,"l2","t","es","f0u",1.63628125,2,29,"exp_g2",0,0.6,1.51069999992842,1.63311874997603
"15",147,"l2","t","es","f0u",1.025125,2,29,"exp_g2",0,0.6,1.30040000009535,1.55847500002381
"16",148,"l2","t","es","f0u",0.739,2,29,"exp_g2",0,0.6,1.11909999990462,1.56269999992836
"17",149,"l2","t","es","f0u",1.2804375,2,29,"exp_g2",0,0.6,1.46289999997612,1.58606250000009
"18",150,"l2","t","es","f0u",0.82653125,2,29,"exp_g2",0,0.6,1.11930000007146,1.64806875002388
