"","num","list","cond","lang","type","mat_dur","exp_num","participant","group","prof","cor_rate","rt_cs","rt_mat"
"1",21,"l2","t","es","na",0.704021,2,70,"exp_g1",60,0.866666666666667,0.639309833059087,1.52425650002034
"2",22,"l2","t","es","na",0.863963,2,70,"exp_g1",60,0.866666666666667,0.987550292047672,1.46309645905764
"3",23,"l2","t","es","na",0.806296,2,70,"exp_g1",60,0.866666666666667,0.622357249958441,1.65186508386498
"4",24,"l2","t","es","na",0.817267,2,70,"exp_g1",60,0.866666666666667,0.615167999989353,2.25046516696456
"5",25,"l2","t","es","na",0.909694,2,70,"exp_g1",60,0.866666666666667,0.505951041006484,2.10897266704882
"6",26,"l2","t","es","na",0.977641,2,70,"exp_g1",60,0.866666666666667,0.883794207940809,1.50021545886324
"7",27,"l2","t","es","na",0.619246,2,70,"exp_g1",60,0.866666666666667,0.618895250023342,1.71858304199325
"8",28,"l2","t","es","na",0.937816,2,70,"exp_g1",60,0.866666666666667,0.696514124982059,1.31853350096719
"9",29,"l2","t","es","na",1.122001,2,70,"exp_g1",60,0.866666666666667,0.581394749926404,2.50353925091231
"10",30,"l2","t","es","na",1.133667,2,70,"exp_g1",60,0.866666666666667,1.04214749997482,1.39292683392893
"11",161,"l2","t","es","f0c",0.75509375,2,70,"exp_g1",60,0.866666666666667,0.555971750058234,1.60577166693658
"12",163,"l2","t","es","f0c",1.55846875,2,70,"exp_g1",60,0.866666666666667,0.808886499959045,1.54246858388931
"13",164,"l2","t","es","f0c",0.69834375,2,70,"exp_g1",60,0.866666666666667,0.634049125015736,1.7031680419771
"14",165,"l2","t","es","f0c",0.825,2,70,"exp_g1",60,0.866666666666667,0.403792542056181,1.63043491700664
"15",166,"l2","t","es","f0c",1.63628125,2,70,"exp_g1",60,0.866666666666667,1.56609441700857,1.31430029198341
"16",167,"l2","t","es","f0c",1.025125,2,70,"exp_g1",60,0.866666666666667,0.948632249957882,1.31878666700516
"17",168,"l2","t","es","f0c",0.739,2,70,"exp_g1",60,0.866666666666667,0.570683166966774,1.52407675091084
"18",170,"l2","t","es","f0c",0.82653125,2,70,"exp_g1",60,0.866666666666667,0.761926542036235,1.47618304196
