...1,num,list,cond,lang,type,mat_dur,correct_key,exp_num,cs,exp1_key.keys,exp1_key.rt,exp1_key.corr,exp2_key.keys,exp2_key.rt,participant,group,prof
1,11,l1,TRUE,es,na,0.944375,NA,2,1,NA,NA,NA,"[""lshift""]",[3.9300000000000637],6,exp_g2,-16
2,12,l1,TRUE,es,na,0.823703,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[3.247000000000071,3.4292000000477856]",6,exp_g2,-16
3,13,l1,TRUE,es,na,1.352093,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[3.064600000023802,3.3804999999999836]",6,exp_g2,-16
4,14,l1,TRUE,es,na,0.788685,NA,2,1,NA,NA,NA,"[""lshift""]",[2.94919999992851],6,exp_g2,-16
5,15,l1,TRUE,es,na,0.882114,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[2.624300000071571,2.8324000000952765]",6,exp_g2,-16
6,16,l1,TRUE,es,na,1.694902,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[3.74740000009524,4.116200000047684]",6,exp_g2,-16
7,17,l1,TRUE,es,na,1.328805,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[2.598799999952348,3.0822999999523972]",6,exp_g2,-16
8,18,l1,TRUE,es,na,0.900375,NA,2,1,NA,NA,NA,"[""lshift"",""rshift"",""rshift"",""rshift""]","[2.665899999976091,2.8990000000001146,2.9333999999762455,3.0153000000716474]",6,exp_g2,-16
9,19,l1,TRUE,es,na,1.44153,NA,2,1,NA,NA,NA,"[""lshift"",""lshift"",""lshift""]","[4.328999999999951,4.6124999999999545,4.795300000071393]",6,exp_g2,-16
10,20,l1,TRUE,es,na,0.99676,NA,2,1,NA,NA,NA,"[""lshift""]",[4.7805999999045525],6,exp_g2,-16
11,21,l2,TRUE,es,na,0.704021,lshift,1,NA,lshift,2.4685,1,NA,NA,6,exp_g2,-16
