participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_trial_key.rt,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,0,0,0,0,1,tr1,lt,tr,en,na,practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,image/kids.png,image/plates.png,kids,lshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,"[""rshift""]",0,1,1,1,1,tr2,lt,tr,en,na,practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,image/bag.png,image/car.png,car,rshift,[2.859000000000009],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,"[""lshift""]",0,2,2,2,1,tr3,lt,tr,sp,na,practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,image/dog.png,image/grandma.png,dog,lshift,[2.118599999964246],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,"[""lshift""]",0,3,3,3,1,tr4,lt,tr,sp,na,practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,image/shirt.png,image/bag.png,bag,rshift,[3.218899999976145],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,"[""lshift""]",0,4,4,4,1,tr5,lt,tr,se,na,practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,image/donut.png,image/cups.png,donut,lshift,[3.0967999999523244],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,"[""rshift""]",0,5,5,5,1,tr6,lt,tr,se,na,practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,image/chair.png,image/sweater.png,sweater,rshift,[2.5568000000119184],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,"[""lshift""]",0,6,6,6,1,tr7,lt,tr,es,na,practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,image/shirt.png,image/wallet.png,shirt,lshift,[2.2750000000000057],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,"[""rshift""]",0,7,7,7,1,tr8,lt,tr,es,na,practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,image/key.png,image/flipflops.png,flipflops,rshift,[2.3420999999642333],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,115,l2,f,se,na,audio/115.wav,,l2_f_se_na_115,,,,,,,image/notebook.png,image/cellphone.png,notebook,lshift,,lshift,1,2.607,0,0,0,19,1,1,notebook,cellphone,notebook,cellphone,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,101,l2,f,en,na,audio/101.wav,,l2_f_en_na_101,,,,,,,image/computer.png,image/bag.png,computer,lshift,,lshift,1,2.4624,0,1,1,5,1,1,computer,bag,computer,bag,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,103,l2,f,en,na,audio/103.wav,,l2_f_en_na_103,,,,,,,image/toys.png,image/sneakers.png,toys,lshift,,lshift,1,2.2118,0,2,2,7,1,1,toys,sneakers,toys,sneakers,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,109,l2,f,en,na,audio/109.wav,,l2_f_en_na_109,,,,,,,image/fish.png,image/woman.png,fish,lshift,,lshift,1,2.0421,0,3,3,13,1,1,fish,woman,fish,woman,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,117,l2,f,se,na,audio/117.wav,,l2_f_se_na_117,,,,,,,image/spongebob.png,image/mickeymouse.png,spongebob,lshift,,lshift,1,2.1579,0,4,4,21,1,1,spongebob,mickeymouse,spongebob,mickeymouse,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,026,l2,t,es,na,audio/026.wav,,l2_t_es_na_026,,,,,,,image/village.png,image/grandma.png,grandma,rshift,,rshift,1,2.3069,0,5,5,40,1,1,grandma,village,village,grandma,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,151,l1,t,es,f0c,audio/151.wav,,l1_t_es_f0c_151,,,,,,,image/cat.png,image/flower.png,cat,lshift,,lshift,1,2.1745,0,6,6,45,1,1,cat,flower,cat,flower,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,125,l2,f,sp,na,audio/125.wav,,l2_f_sp_na_125,,,,,,,image/desk.png,image/bottle.png,desk,lshift,,rshift,0,4.5926,0,7,7,29,1,1,desk,bottle,desk,bottle,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,113,l2,f,se,na,audio/113.wav,,l2_f_se_na_113,,,,,,,image/loafers.png,image/sneakers.png,loafers,lshift,,lshift,1,2.4578,0,8,8,17,1,1,loafers,sneakers,loafers,sneakers,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,156,l1,t,es,f0c,audio/156.wav,,l1_t_es_f0c_156,,,,,,,image/city.png,image/village.png,village,rshift,,,0,,0,9,9,50,1,1,village,city,city,village,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,021,l2,t,es,na,audio/021.wav,,l2_t_es_na_021,,,,,,,image/jacket.png,image/flipflops.png,jacket,lshift,,lshift,1,2.5458,0,10,10,35,1,1,jacket,flipflops,jacket,flipflops,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,128,l2,f,sp,na,audio/128.wav,,l2_f_sp_na_128,,,,,,,image/cups.png,image/kids.png,kids,rshift,,rshift,1,2.6749,0,11,11,32,1,1,kids,cups,cups,kids,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,159,l1,t,es,f0c,audio/159.wav,,l1_t_es_f0c_159,,,,,,,image/restaurant.png,image/hotel.png,restaurant,lshift,,lshift,1,2.6397,0,12,12,53,1,1,restaurant,hotel,restaurant,hotel,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,120,l2,f,se,na,audio/120.wav,,l2_f_se_na_120,,,,,,,image/glasses.png,image/joycons.png,joycons,rshift,,rshift,1,2.5257,0,13,13,24,1,1,joycons,glasses,glasses,joycons,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,126,l2,f,sp,na,audio/126.wav,,l2_f_sp_na_126,,,,,,,image/backpack.png,image/key.png,key,rshift,,lshift,0,2.4242,0,14,14,30,1,1,key,backpack,backpack,key,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,099,l2,f,en,na,audio/099.wav,,l2_f_en_na_099,,,,,,,image/dog.png,image/cat.png,dog,lshift,,lshift,1,1.8068,0,15,15,3,1,1,dog,cat,dog,cat,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,119,l2,f,se,na,audio/119.wav,,l2_f_se_na_119,,,,,,,image/penthouse.png,image/rocket.png,penthouse,lshift,,lshift,1,2.6148,0,16,16,23,1,1,penthouse,rocket,penthouse,rocket,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,116,l2,f,se,na,audio/116.wav,,l2_f_se_na_116,,,,,,,image/sweatpants.png,image/boxers.png,boxers,rshift,,rshift,1,2.3806,0,17,17,20,1,1,boxers,sweatpants,sweatpants,boxers,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,029,l2,t,es,na,audio/029.wav,,l2_t_es_na_029,,,,,,,image/armchair.png,image/ring.png,armchair,lshift,,rshift,0,2.6732,0,18,18,43,1,1,armchair,ring,armchair,ring,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,129,l2,f,sp,na,audio/129.wav,,l2_f_sp_na_129,,,,,,,image/bag.png,image/chair.png,bag,lshift,,rshift,0,3.6291,0,19,19,33,1,1,bag,chair,bag,chair,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,153,l1,t,es,f0c,audio/153.wav,,l1_t_es_f0c_153,,,,,,,image/cellphone.png,image/book.png,cellphone,lshift,,lshift,1,2.4563,0,20,20,47,1,1,cellphone,book,cellphone,book,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,155,l1,t,es,f0c,audio/155.wav,,l1_t_es_f0c_155,,,,,,,image/flipflops.png,image/flower.png,flipflops,lshift,,lshift,1,2.2284,0,21,21,49,1,1,flipflops,flower,flipflops,flower,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,111,l2,f,se,na,audio/111.wav,,l2_f_se_na_111,,,,,,,image/mashedpotatoes.png,image/donut.png,mashedpotatoes,lshift,,lshift,1,2.4331,0,22,22,15,1,1,mashedpotatoes,donut,mashedpotatoes,donut,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,112,l2,f,se,na,audio/112.wav,,l2_f_se_na_112,,,,,,,image/burger.png,image/hotdog.png,hotdog,rshift,,rshift,1,2.2064,0,23,23,16,1,1,hotdog,burger,burger,hotdog,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,025,l2,t,es,na,audio/025.wav,,l2_t_es_na_025,,,,,,,image/cellphone.png,image/truck.png,cellphone,lshift,,rshift,0,2.6098,0,24,24,39,1,1,cellphone,truck,cellphone,truck,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,121,l2,f,sp,na,audio/121.wav,,l2_f_sp_na_121,,,,,,,image/shoe.png,image/glasses.png,shoe,lshift,,lshift,1,2.4962,0,25,25,25,1,1,shoe,glasses,shoe,glasses,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,102,l2,f,en,na,audio/102.wav,,l2_f_en_na_102,,,,,,,image/socks.png,image/book.png,books,rshift,,rshift,1,2.5086,0,26,26,6,1,1,books,socks,socks,book,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,118,l2,f,se,na,audio/118.wav,,l2_f_se_na_118,,,,,,,image/icecream.png,image/donut.png,donut,rshift,,rshift,1,2.0971,0,27,27,22,1,1,donut,icecream,icecream,donut,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,107,l2,f,en,na,audio/107.wav,,l2_f_en_na_107,,,,,,,image/man.png,image/cat.png,man,lshift,,lshift,1,2.0126,0,28,28,11,1,1,man,cat,man,cat,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,114,l2,f,se,na,audio/114.wav,,l2_f_se_na_114,,,,,,,image/jeans.png,image/sweatpants.png,sweatpants,rshift,,lshift,0,2.614,0,29,29,18,1,1,sweatpants,jeans,jeans,sweatpants,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,152,l1,t,es,f0c,audio/152.wav,,l1_t_es_f0c_152,,,,,,,image/car.png,image/grandma.png,grandma,rshift,,rshift,1,2.2763,0,30,30,46,1,1,grandma,car,car,grandma,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,158,l1,t,es,f0c,audio/158.wav,,l1_t_es_f0c_158,,,,,,,image/pants.png,image/shirt.png,shirt,rshift,,rshift,1,2.4279,0,31,31,52,1,1,shirt,pants,pants,shirt,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,108,l2,f,en,na,audio/108.wav,,l2_f_en_na_108,,,,,,,image/scarf.png,image/socks.png,socks,rshift,,rshift,1,2.6101,0,32,32,12,1,1,socks,scarf,scarf,socks,,,,,,,,,,,,,,,,
648903,001,2023-11-16_11h11.01.336,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,100,l2,f,en,na,audio/100.wav,,l2_f_en_na_100,,,,,,,image/wallet.png,image/scarf.png,scarf,rshift,,rshift,1,1.8663,0,33,33,4,1,1,scarf,wallet,wallet,scarf,,,,,,,,,,,,,,,,
