...1,num,list,cond,lang,type,mat_dur,exp1_key.keys,exp1_key.rt,exp1_key.corr,cor_rate,participant,group,prof,rt
1,21,l2,TRUE,es,na,0.704021,lshift,2.4685,1,0.833333333333333,6,exp_g2,-16,1.764479
2,22,l2,TRUE,es,na,0.863963,rshift,2.8365,1,0.833333333333333,6,exp_g2,-16,1.972537
3,24,l2,TRUE,es,na,0.817267,rshift,2.8472,1,0.833333333333333,6,exp_g2,-16,2.029933
4,26,l2,TRUE,es,na,0.977641,rshift,2.5987,1,0.833333333333333,6,exp_g2,-16,1.621059
5,27,l2,TRUE,es,na,0.619246,lshift,2.3653,1,0.833333333333333,6,exp_g2,-16,1.746054
6,28,l2,TRUE,es,na,0.937816,rshift,2.4808,1,0.833333333333333,6,exp_g2,-16,1.542984
7,30,l2,TRUE,es,na,1.133667,rshift,3.879,1,0.833333333333333,6,exp_g2,-16,2.745333
8,98,l2,FALSE,en,na,0.376142,rshift,2.2816,1,0.833333333333333,6,exp_g2,-16,1.905458
9,99,l2,FALSE,en,na,0.462405,lshift,1.968,1,0.833333333333333,6,exp_g2,-16,1.505595
10,101,l2,FALSE,en,na,0.924484,lshift,2.4701,1,0.833333333333333,6,exp_g2,-16,1.545616
11,102,l2,FALSE,en,na,1.021105,rshift,2.5881,1,0.833333333333333,6,exp_g2,-16,1.566995
12,103,l2,FALSE,en,na,0.594925,lshift,2.1179,1,0.833333333333333,6,exp_g2,-16,1.522975
13,106,l2,FALSE,en,na,1.203962,rshift,2.8203,1,0.833333333333333,6,exp_g2,-16,1.616338
14,107,l2,FALSE,en,na,0.740095,lshift,2.8047,1,0.833333333333333,6,exp_g2,-16,2.064605
15,108,l2,FALSE,en,na,0.818995,rshift,2.5935,1,0.833333333333333,6,exp_g2,-16,1.774505
16,109,l2,FALSE,en,na,0.344097,lshift,2.0239,1,0.833333333333333,6,exp_g2,-16,1.679803
17,110,l2,FALSE,en,na,0.973278,rshift,2.5982,1,0.833333333333333,6,exp_g2,-16,1.624922
18,151,l1,TRUE,es,f0c,0.7884375,lshift,2.5715,1,0.833333333333333,6,exp_g2,-16,1.7830625
19,152,l1,TRUE,es,f0c,0.92128125,rshift,2.7087,1,0.833333333333333,6,exp_g2,-16,1.78741875
20,155,l1,TRUE,es,f0c,0.8595,lshift,2.5102,1,0.833333333333333,6,exp_g2,-16,1.6507
21,156,l1,TRUE,es,f0c,0.974875,rshift,3.4631,1,0.833333333333333,6,exp_g2,-16,2.488225
22,157,l1,TRUE,es,f0c,0.635125,lshift,2.4634,1,0.833333333333333,6,exp_g2,-16,1.828275
23,158,l1,TRUE,es,f0c,0.9708125,rshift,3.2887,1,0.833333333333333,6,exp_g2,-16,2.3178875
24,159,l1,TRUE,es,f0c,1.1799375,lshift,3.0736,1,0.833333333333333,6,exp_g2,-16,1.8936625
25,160,l1,TRUE,es,f0c,1.108625,rshift,2.967,1,0.833333333333333,6,exp_g2,-16,1.858375
1,11,l1,TRUE,es,na,0.944375,lshift,3.037137666,1,1,12,exp_g1,8,2.092762666
2,12,l1,TRUE,es,na,0.823703,rshift,2.772565208,1,1,12,exp_g1,8,1.948862208
3,13,l1,TRUE,es,na,1.352093,lshift,2.792316416,1,1,12,exp_g1,8,1.440223416
4,14,l1,TRUE,es,na,0.788685,rshift,2.329284375,1,1,12,exp_g1,8,1.540599375
5,15,l1,TRUE,es,na,0.882114,lshift,3.173125333,1,1,12,exp_g1,8,2.291011333
6,16,l1,TRUE,es,na,1.694902,rshift,3.141361833,1,1,12,exp_g1,8,1.446459833
