participant,lt_std,...1,num,list,cond,lang,type,mat_dur,exp1_key.keys,exp1_key.rt,exp1_key.corr,cor_rate,group,prof,rt
52,0.17727848316107647,1,11,l1,TRUE,es,na,0.944375,lshift,3.150265542,1,0.866666666666667,exp_g1,11,2.205890542
52,0.17727848316107647,2,13,l1,TRUE,es,na,1.352093,lshift,3.066672458,1,0.866666666666667,exp_g1,11,1.714579458
52,0.17727848316107647,3,14,l1,TRUE,es,na,0.788685,rshift,2.5843005,1,0.866666666666667,exp_g1,11,1.7956155
52,0.17727848316107647,4,15,l1,TRUE,es,na,0.882114,lshift,2.744366834,1,0.866666666666667,exp_g1,11,1.862252834
52,0.17727848316107647,5,16,l1,TRUE,es,na,1.694902,rshift,3.276699042,1,0.866666666666667,exp_g1,11,1.581797042
52,0.17727848316107647,6,17,l1,TRUE,es,na,1.328805,lshift,3.566165667,1,0.866666666666667,exp_g1,11,2.237360667
52,0.17727848316107647,7,18,l1,TRUE,es,na,0.900375,rshift,4.258899833,1,0.866666666666667,exp_g1,11,3.358524833
52,0.17727848316107647,8,19,l1,TRUE,es,na,1.44153,lshift,3.297999375,1,0.866666666666667,exp_g1,11,1.856469375
52,0.17727848316107647,9,63,l1,FALSE,en,na,0.351376,rshift,1.954134791,1,0.866666666666667,exp_g1,11,1.602758791
52,0.17727848316107647,10,64,l1,FALSE,en,na,0.428572,lshift,1.90403775,1,0.866666666666667,exp_g1,11,1.47546575
52,0.17727848316107647,11,66,l1,FALSE,en,na,0.78000100000000006,lshift,2.217448584,1,0.866666666666667,exp_g1,11,1.437447584
52,0.17727848316107647,12,67,l1,FALSE,en,na,0.950804,rshift,2.259444,1,0.866666666666667,exp_g1,11,1.30864
52,0.17727848316107647,13,68,l1,FALSE,en,na,0.600784,lshift,2.553678834,1,0.866666666666667,exp_g1,11,1.952894834
52,0.17727848316107647,14,71,l1,FALSE,en,na,1.261129,rshift,2.684760459,1,0.866666666666667,exp_g1,11,1.423631459
52,0.17727848316107647,15,72,l1,FALSE,en,na,0.83156,lshift,2.335198291,1,0.866666666666667,exp_g1,11,1.503638291
52,0.17727848316107647,16,73,l1,FALSE,en,na,0.877576,rshift,2.436679833,1,0.866666666666667,exp_g1,11,1.559103833
52,0.17727848316107647,17,74,l1,FALSE,en,na,0.396484,lshift,2.616720917,1,0.866666666666667,exp_g1,11,2.220236917
52,0.17727848316107647,18,75,l1,FALSE,en,na,0.913493,rshift,2.4390165,1,0.866666666666667,exp_g1,11,1.5255235
52,0.17727848316107647,19,132,l1,TRUE,es,f0u,0.92128125,rshift,2.566476042,1,0.866666666666667,exp_g1,11,1.645194792
52,0.17727848316107647,20,133,l1,TRUE,es,f0u,0.77825,lshift,2.654857583,1,0.866666666666667,exp_g1,11,1.876607583
52,0.17727848316107647,21,135,l1,TRUE,es,f0u,0.8595,lshift,2.385285666,1,0.866666666666667,exp_g1,11,1.525785666
52,0.17727848316107647,22,136,l1,TRUE,es,f0u,0.974875,rshift,3.437316292,1,0.866666666666667,exp_g1,11,2.462441292
52,0.17727848316107647,23,137,l1,TRUE,es,f0u,0.635125,lshift,2.451126042,1,0.866666666666667,exp_g1,11,1.816001042
52,0.17727848316107647,24,138,l1,TRUE,es,f0u,0.9708125,rshift,2.558981667,1,0.866666666666667,exp_g1,11,1.588169167
52,0.17727848316107647,25,139,l1,TRUE,es,f0u,1.1799375,lshift,2.882952459,1,0.866666666666667,exp_g1,11,1.703014959
12,-0.047728822389520455,1,11,l1,TRUE,es,na,0.944375,lshift,3.037137666,1,1,exp_g1,8,2.092762666
12,-0.047728822389520455,2,12,l1,TRUE,es,na,0.823703,rshift,2.772565208,1,1,exp_g1,8,1.948862208
12,-0.047728822389520455,3,13,l1,TRUE,es,na,1.352093,lshift,2.792316416,1,1,exp_g1,8,1.440223416
12,-0.047728822389520455,4,14,l1,TRUE,es,na,0.788685,rshift,2.329284375,1,1,exp_g1,8,1.540599375
12,-0.047728822389520455,5,15,l1,TRUE,es,na,0.882114,lshift,3.173125333,1,1,exp_g1,8,2.291011333
12,-0.047728822389520455,6,16,l1,TRUE,es,na,1.694902,rshift,3.141361833,1,1,exp_g1,8,1.446459833
12,-0.047728822389520455,7,17,l1,TRUE,es,na,1.328805,lshift,4.193076041,1,1,exp_g1,8,2.864271041
12,-0.047728822389520455,8,18,l1,TRUE,es,na,0.900375,rshift,3.050142166,1,1,exp_g1,8,2.149767166
12,-0.047728822389520455,9,20,l1,TRUE,es,na,0.99676,rshift,2.490079291,1,1,exp_g1,8,1.493319291
12,-0.047728822389520455,10,63,l1,FALSE,en,na,0.351376,rshift,2.126005,1,1,exp_g1,8,1.774629
12,-0.047728822389520455,11,64,l1,FALSE,en,na,0.428572,lshift,1.938358374,1,1,exp_g1,8,1.509786374
12,-0.047728822389520455,12,66,l1,FALSE,en,na,0.78000100000000006,lshift,2.565590291,1,1,exp_g1,8,1.785589291
12,-0.047728822389520455,13,67,l1,FALSE,en,na,0.950804,rshift,2.457005875,1,1,exp_g1,8,1.506201875
12,-0.047728822389520455,14,68,l1,FALSE,en,na,0.600784,lshift,2.371385541,1,1,exp_g1,8,1.770601541
12,-0.047728822389520455,15,71,l1,FALSE,en,na,1.261129,rshift,2.678988708,1,1,exp_g1,8,1.417859708
12,-0.047728822389520455,16,72,l1,FALSE,en,na,0.83156,lshift,2.181172666,1,1,exp_g1,8,1.349612666
12,-0.047728822389520455,17,73,l1,FALSE,en,na,0.877576,rshift,2.4068975,1,1,exp_g1,8,1.5293215
12,-0.047728822389520455,18,74,l1,FALSE,en,na,0.396484,lshift,1.890186125,1,1,exp_g1,8,1.493702125
12,-0.047728822389520455,19,75,l1,FALSE,en,na,0.913493,rshift,2.459466583,1,1,exp_g1,8,1.545973583
12,-0.047728822389520455,20,131,l1,TRUE,es,f0u,0.7884375,lshift,2.078716041,1,1,exp_g1,8,1.290278541
12,-0.047728822389520455,21,132,l1,TRUE,es,f0u,0.92128125,rshift,3.235746624,1,1,exp_g1,8,2.314465374
12,-0.047728822389520455,22,133,l1,TRUE,es,f0u,0.77825,lshift,2.608014874,1,1,exp_g1,8,1.829764874
12,-0.047728822389520455,23,134,l1,TRUE,es,f0u,0.91259375,rshift,3.654803666,1,1,exp_g1,8,2.742209916
12,-0.047728822389520455,24,135,l1,TRUE,es,f0u,0.8595,lshift,2.496516375,1,1,exp_g1,8,1.637016375
12,-0.047728822389520455,25,136,l1,TRUE,es,f0u,0.974875,rshift,2.894369542,1,1,exp_g1,8,1.919494542
12,-0.047728822389520455,26,137,l1,TRUE,es,f0u,0.635125,lshift,2.187015333,1,1,exp_g1,8,1.551890333
12,-0.047728822389520455,27,138,l1,TRUE,es,f0u,0.9708125,rshift,2.5029945,1,1,exp_g1,8,1.532182
12,-0.047728822389520455,28,139,l1,TRUE,es,f0u,1.1799375,lshift,2.706876999,1,1,exp_g1,8,1.526939499
12,-0.047728822389520455,29,140,l1,TRUE,es,f0u,1.108625,rshift,3.549694833,1,1,exp_g1,8,2.441069833
65,-0.4977434334907143,1,12,l1,TRUE,es,na,0.823703,rshift,2.798144125,1,0.9,exp_g1,2,1.974441125
65,-0.4977434334907143,2,13,l1,TRUE,es,na,1.352093,lshift,2.998631833,1,0.9,exp_g1,2,1.646538833
65,-0.4977434334907143,3,14,l1,TRUE,es,na,0.788685,rshift,2.366582041,1,0.9,exp_g1,2,1.577897041
65,-0.4977434334907143,4,15,l1,TRUE,es,na,0.882114,lshift,2.132350708,1,0.9,exp_g1,2,1.250236708
65,-0.4977434334907143,5,16,l1,TRUE,es,na,1.694902,rshift,2.959787459,1,0.9,exp_g1,2,1.264885459
65,-0.4977434334907143,6,17,l1,TRUE,es,na,1.328805,lshift,2.69643575,1,0.9,exp_g1,2,1.36763075
65,-0.4977434334907143,7,19,l1,TRUE,es,na,1.44153,lshift,2.885078416,1,0.9,exp_g1,2,1.443548416
65,-0.4977434334907143,8,20,l1,TRUE,es,na,0.99676,rshift,2.496069708,1,0.9,exp_g1,2,1.499309708
65,-0.4977434334907143,9,63,l1,FALSE,en,na,0.351376,rshift,1.796138625,1,0.9,exp_g1,2,1.444762625
65,-0.4977434334907143,10,64,l1,FALSE,en,na,0.428572,lshift,1.923029708,1,0.9,exp_g1,2,1.494457708
65,-0.4977434334907143,11,66,l1,FALSE,en,na,0.78000100000000006,lshift,2.252674792,1,0.9,exp_g1,2,1.472673792
65,-0.4977434334907143,12,67,l1,FALSE,en,na,0.950804,rshift,2.236905333,1,0.9,exp_g1,2,1.286101333
65,-0.4977434334907143,13,68,l1,FALSE,en,na,0.600784,lshift,2.017785916,1,0.9,exp_g1,2,1.417001916
65,-0.4977434334907143,14,71,l1,FALSE,en,na,1.261129,rshift,2.659649375,1,0.9,exp_g1,2,1.398520375
65,-0.4977434334907143,15,72,l1,FALSE,en,na,0.83156,lshift,2.0631605,1,0.9,exp_g1,2,1.2316005
65,-0.4977434334907143,16,73,l1,FALSE,en,na,0.877576,rshift,2.188976958,1,0.9,exp_g1,2,1.311400958
65,-0.4977434334907143,17,74,l1,FALSE,en,na,0.396484,lshift,1.826541583,1,0.9,exp_g1,2,1.430057583
65,-0.4977434334907143,18,75,l1,FALSE,en,na,0.913493,rshift,2.251358916,1,0.9,exp_g1,2,1.337865916
65,-0.4977434334907143,19,131,l1,TRUE,es,f0u,0.7884375,lshift,2.155837625,1,0.9,exp_g1,2,1.367400125
65,-0.4977434334907143,20,132,l1,TRUE,es,f0u,0.92128125,rshift,2.250381792,1,0.9,exp_g1,2,1.329100542
65,-0.4977434334907143,21,133,l1,TRUE,es,f0u,0.77825,lshift,2.667171584,1,0.9,exp_g1,2,1.888921584
65,-0.4977434334907143,22,135,l1,TRUE,es,f0u,0.8595,lshift,2.234045375,1,0.9,exp_g1,2,1.374545375
65,-0.4977434334907143,23,136,l1,TRUE,es,f0u,0.974875,rshift,2.865509875,1,0.9,exp_g1,2,1.890634875
65,-0.4977434334907143,24,137,l1,TRUE,es,f0u,0.635125,lshift,2.0827295,1,0.9,exp_g1,2,1.4476045
65,-0.4977434334907143,25,138,l1,TRUE,es,f0u,0.9708125,rshift,2.561772208,1,0.9,exp_g1,2,1.590959708
65,-0.4977434334907143,26,139,l1,TRUE,es,f0u,1.1799375,lshift,2.774440792,1,0.9,exp_g1,2,1.594503292
65,-0.4977434334907143,27,140,l1,TRUE,es,f0u,1.108625,rshift,2.9927785,1,0.9,exp_g1,2,1.8841535
68,-0.5727458686742466,1,11,l1,TRUE,es,na,0.944375,lshift,2.666977374,1,0.833333333333333,exp_g1,1,1.722602374
68,-0.5727458686742466,2,12,l1,TRUE,es,na,0.823703,rshift,2.855989583,1,0.833333333333333,exp_g1,1,2.032286583
68,-0.5727458686742466,3,14,l1,TRUE,es,na,0.788685,rshift,2.647232124,1,0.833333333333333,exp_g1,1,1.858547124
68,-0.5727458686742466,4,15,l1,TRUE,es,na,0.882114,lshift,4.833840916,1,0.833333333333333,exp_g1,1,3.951726916
68,-0.5727458686742466,5,16,l1,TRUE,es,na,1.694902,rshift,3.373792083,1,0.833333333333333,exp_g1,1,1.678890083
68,-0.5727458686742466,6,17,l1,TRUE,es,na,1.328805,lshift,3.812655833,1,0.833333333333333,exp_g1,1,2.483850833
68,-0.5727458686742466,7,19,l1,TRUE,es,na,1.44153,lshift,3.125430666,1,0.833333333333333,exp_g1,1,1.683900666
