...1,num,list,cond,lang,type,mat_dur,exp_num,participant,group,prof,cor_rate,rt_cs,rt_mat
1,12,l1,TRUE,es,na,0.823703,2,6,exp_g2,-16,0.366666666666667,0.182200000047715,2.60549700004779
2,13,l1,TRUE,es,na,1.352093,2,6,exp_g2,-16,0.366666666666667,0.315899999976182,2.02840699999998
3,15,l1,TRUE,es,na,0.882114,2,6,exp_g2,-16,0.366666666666667,0.208100000023705,1.95028600009528
4,16,l1,TRUE,es,na,1.694902,2,6,exp_g2,-16,0.366666666666667,0.368799999952444,2.42129800004768
5,17,l1,TRUE,es,na,1.328805,2,6,exp_g2,-16,0.366666666666667,0.483500000000049,1.7534949999524
6,142,l2,TRUE,es,f0u,0.73509375,2,6,exp_g2,-16,0.366666666666667,0.216999999999985,2.44620624995233
7,146,l2,TRUE,es,f0u,1.63628125,2,6,exp_g2,-16,0.366666666666667,0.932600000023967,1.55371875000017
8,147,l2,TRUE,es,f0u,1.025125,2,6,exp_g2,-16,0.366666666666667,0.248099999904526,2.15517499995224
9,148,l2,TRUE,es,f0u,0.739,2,6,exp_g2,-16,0.366666666666667,0.250800000071422,2.69299999999979
10,149,l2,TRUE,es,f0u,1.2804375,2,6,exp_g2,-16,0.366666666666667,0.397600000023886,1.63296249997615
11,150,l2,TRUE,es,f0u,0.82653125,2,6,exp_g2,-16,0.366666666666667,0.7982000000477,2.78556875002382
1,21,l2,TRUE,es,na,0.704021,2,21,exp_g1,50,0.633333333333333,0.454799999952342,1.29797900000001
2,22,l2,TRUE,es,na,0.863963,2,21,exp_g1,50,0.633333333333333,0.711799999952291,1.30593699997617
3,23,l2,TRUE,es,na,0.806296,2,21,exp_g1,50,0.633333333333333,0.823499999999967,1.33790399998807
4,24,l2,TRUE,es,na,0.817267,2,21,exp_g1,50,0.633333333333333,0.850500000000011,1.38933299996423
5,25,l2,TRUE,es,na,0.909694,2,21,exp_g1,50,0.633333333333333,0.862600000023804,1.24270600003575
6,26,l2,TRUE,es,na,0.977641,2,21,exp_g1,50,0.633333333333333,0.850300000011941,1.27315900001191
7,27,l2,TRUE,es,na,0.619246,2,21,exp_g1,50,0.633333333333333,0.631900000035785,1.38115400003577
8,28,l2,TRUE,es,na,0.937816,2,21,exp_g1,50,0.633333333333333,0.88459999996428,1.34678399996426
