participant,group,list,cond,lang,type,num,exp_num,cs,response,rt1,rt2,lextale,lextale_z,mat_dur,rt_mat,rt_cs
052,exp_g1,l2,t,es,na,029,2,1,"['lshift', 'rshift']",1.5356439999886788,2.797472874983214,11,0.17727848316107647,1.122001,1.6754718749832138,1.261828874994535
052,exp_g1,l2,t,es,f0c,169,2,1,"['lshift', 'rshift']",1.6602607499225996,2.8738242499530315,11,0.17727848316107647,1.2804374999999999,1.5933867499530316,1.213563500030432
052,exp_g1,l2,t,es,f0c,164,2,1,"['lshift', 'rshift']",1.850501333014108,2.32789341598982,11,0.17727848316107647,0.69834375000000004,1.6295496659898199,0.4773920829757119
052,exp_g1,l2,t,es,f0c,163,2,1,"['lshift', 'rshift']",2.037628374935593,3.218849541968666,11,0.17727848316107647,1.5584687500000001,1.660380791968666,1.181221167033073
052,exp_g1,l2,t,es,f0c,165,2,1,"['lshift', 'rshift']",1.725435499974992,2.3438526659738272,11,0.17727848316107647,0.82499999999999996,1.5188526659738275,0.6184171659988353
052,exp_g1,l2,t,es,f0c,161,2,1,"['lshift', 'rshift']",1.8729387909988875,2.433795332966838,11,0.17727848316107647,0.75509375000000001,1.6787015829668381,0.5608565419679505
052,exp_g1,l2,t,es,f0c,170,2,1,"['lshift', 'rshift']",1.5231426659738645,2.388403374934569,11,0.17727848316107647,0.82653125000000005,1.561872124934569,0.8652607089607045
052,exp_g1,l2,t,es,na,025,2,1,"['lshift', 'rshift']",1.6220999590004794,2.2152735839481466,11,0.17727848316107647,0.909694,1.3055795839481465,0.5931736249476671
052,exp_g1,l2,t,es,na,030,2,1,"['lshift', 'rshift']",1.5473708329955116,2.4997917079599574,11,0.17727848316107647,1.133667,1.3661247079599574,0.9524208749644458
052,exp_g1,l2,t,es,na,026,2,1,"['lshift', 'rshift']",1.9247867919621056,2.4596437919535674,11,0.17727848316107647,0.97764099999999998,1.4820027919535674,0.5348569999914619
052,exp_g1,l2,t,es,f0c,162,2,1,"['lshift', 'rshift']",1.856176916975528,2.3610786250210367,11,0.17727848316107647,0.73509374999999999,1.6259848750210368,0.5049017080455087
052,exp_g1,l2,t,es,f0c,167,2,1,"['lshift', 'rshift']",1.7273842919967135,2.581150166981388,11,0.17727848316107647,1.0251250000000001,1.5560251669813878,0.8537658749846744
052,exp_g1,l2,t,es,na,023,2,1,"['lshift', 'rshift']",1.750894790980965,2.584768582950346,11,0.17727848316107647,0.80629600000000001,1.778472582950346,0.8338737919693813
052,exp_g1,l2,t,es,na,024,2,1,"['lshift', 'rshift']",2.422432249994017,2.634703374991659,11,0.17727848316107647,0.81726699999999997,1.8174363749916593,0.2122711249976419
052,exp_g1,l2,t,es,na,021,2,1,"['lshift', 'rshift']",1.7579991249949671,2.323289207997732,11,0.17727848316107647,0.70402100000000001,1.6192682079977319,0.5652900830027647
052,exp_g1,l2,t,es,na,028,2,1,"['lshift', 'rshift']",1.5761886249529198,2.371808957948815,11,0.17727848316107647,0.93781599999999998,1.433992957948815,0.7956203329958953
052,exp_g1,l2,t,es,na,022,2,1,"['lshift', 'rshift']",1.98741975001758,2.365767000010237,11,0.17727848316107647,0.86396300000000004,1.501804000010237,0.378347249992657
052,exp_g1,l2,t,es,na,027,2,1,"['lshift', 'rshift']",1.8781087499228304,2.2855548749212176,11,0.17727848316107647,0.61924599999999996,1.6663088749212176,0.40744612499838717
065,exp_g1,l2,t,es,f0c,166,2,1,"['lshift', 'rshift']",1.56891725002788,3.055687375017442,2,-0.4977434334907143,1.6362812499999999,1.419406125017442,1.4867701249895617
065,exp_g1,l2,t,es,na,029,2,1,"['lshift', 'rshift']",1.258873875020072,2.553305583074689,2,-0.4977434334907143,1.122001,1.4313045830746889,1.2944317080546168
065,exp_g1,l2,t,es,f0c,165,2,1,"['lshift', 'rshift']",1.301053083036095,2.097628957941197,2,-0.4977434334907143,0.82499999999999996,1.2726289579411971,0.796575874905102
065,exp_g1,l2,t,es,na,027,2,1,"['lshift', 'rshift']",1.3267213749932123,1.9446583340177312,2,-0.4977434334907143,0.61924599999999996,1.3254123340177313,0.617936959024519
065,exp_g1,l2,t,es,na,024,2,1,"['lshift', 'rshift']",1.5290921670384705,2.22998408402782,2,-0.4977434334907143,0.81726699999999997,1.41271708402782,0.7008919169893493
065,exp_g1,l2,t,es,f0c,169,2,1,"['lshift', 'rshift']",1.8507127499906344,2.695504000061192,2,-0.4977434334907143,1.2804374999999999,1.4150665000611922,0.8447912500705577
065,exp_g1,l2,t,es,na,022,2,1,"['lshift', 'rshift']",1.4183799580205232,2.232183458050713,2,-0.4977434334907143,0.86396300000000004,1.368220458050713,0.8138035000301898
065,exp_g1,l2,t,es,f0c,162,2,1,"['lshift', 'rshift']",1.4346522920532152,2.171024167095311,2,-0.4977434334907143,0.73509374999999999,1.435930417095311,0.7363718750420958
