num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_cross.started,exp1_trial_key.started,exp1_trial_cross.stopped,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_cross.started,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_cross.stopped,exp1_sound.started,exp2_trial_cross.started,exp2_trial_key.started,exp2_trial_cross.stopped,exp2_trial_sound.started,exp2_trial_key.stopped,exp2_trial_key.keys,exp2_trial_key.rt,exp2_cross.started,exp2_key.started,exp2_cross.stopped,exp2_sound.started,exp2_key.stopped,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,18.00428816594649,18.176016957964748,18.243145457934588,18.938578707693765,['lshift'],[1.764248292078264],,,,,,,,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,19.97282612498384,20.188426750013605,20.22193129104562,20.955385791665563,['rshift'],[1.969576874980703],,,,,,,,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,22.19414858298842,22.41226504102815,22.438577458029613,23.17047862470305,['lshift'],[1.6328973750350997],,,,,,,,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,24.07806129101664,24.295039165997878,24.32820550003089,25.055233707713583,['rshift'],[2.235385583131574],,,,,,,,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,26.572488875011913,26.78751433303114,26.821936541004106,27.544610541608805,['lshift'],[2.5745021250331774],,,,,,,,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,29.397129041026346,29.612148332991637,29.64191029104404,30.371200374622518,['rshift'],[2.3140967501094565],,,,,,,,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,31.961644500028342,32.17764154099859,32.20504791603889,32.938512874712856,['lshift'],[2.115001792088151],,,,,,,,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,34.322205708012916,34.54545874998439,34.57157216593623,35.30529204168512,['rshift'],[1.9378225000109524],,,,,,,,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
82.0,l1,f,se,na,../audio/082.wav,,l1_f_se_na_082,,,,,,,../image/mickeymouse.png,../image/spongebob.png,mickeymouse,lshift,1,mickeymouse,spongebob,mickeymouse,spongebob,None,,,,,,,,,,0,0,0,21,,,,,,,,,,,,,,,,,,,41.640530874952674,41.73716599994805,lshift,1,-0.4367942919488996,,,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
140.0,l1,t,es,f0u,../audio/140.wav,,l1_t_es_f0u_140,,,,,,,../image/ring.png,../image/bracelet.png,bracelet,rshift,1,bracelet,ring,ring,bracelet,None,,,,,,,,,,0,1,1,54,,,,,,,,,,,,,,,,,,,41.76160391594749,41.974891416030005,rshift,1,2.992778499959968,42.01185841602273,42.738660457606116,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
135.0,l1,t,es,f0u,../audio/135.wav,,l1_t_es_f0u_135,,,,,,,../image/flipflops.png,../image/flower.png,flipflops,lshift,1,flipflops,flower,flipflops,flower,None,,,,,,,,,,0,2,2,49,,,,,,,,,,,,,,,,,,,45.00308449997101,45.22165225003846,lshift,1,2.234045375022106,45.24290270800702,45.978926749612825,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
69.0,l1,f,en,na,../audio/069.wav,,l1_f_en_na_069,,,,,,,../image/bag.png,../image/shirt.png,shirt,rshift,1,shirt,bag,bag,shirt,None,,,,,,,,,,0,3,3,8,,,,,,,,,,,,,,,,,,,47.493233041022904,47.71177037502639,rshift,1,1.685138790984638,47.73824637499638,48.47167904168988,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
77.0,l1,f,se,na,../audio/077.wav,,l1_f_se_na_077,,,,,,,../image/mashedpotatoes.png,../image/donut.png,donut,rshift,1,donut,mashedpotatoes,mashedpotatoes,donut,None,,,,,,,,,,0,4,4,16,,,,,,,,,,,,,,,,,,,49.43581366597209,49.654916708008386,rshift,1,1.950003958074376,49.67639662500005,50.41143229167598,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
89.0,l1,f,sp,na,../audio/089.wav,,l1_f_sp_na_089,,,,,,,../image/bed.png,../image/wallet.png,wallet,rshift,1,wallet,bed,bed,wallet,None,,,,,,,,,,0,5,5,28,,,,,,,,,,,,,,,,,,,51.64154379093088,51.854876708006486,rshift,1,2.281374166952446,51.888380583026446,52.61125779169767,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
75.0,l1,f,en,na,../audio/075.wav,,l1_f_en_na_075,,,,,,,../image/dog.png,../image/fish.png,fish,rshift,1,fish,dog,dog,fish,None,,,,,,,,,,0,6,6,14,,,,,,,,,,,,,,,,,,,54.1731410829816,54.38829575001728,rshift,1,2.251358916051686,54.42171270796098,55.14311824966377,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
78.0,l1,f,se,na,../audio/078.wav,,l1_f_se_na_078,,,,,,,../image/airpods.png,../image/joycons.png,airpods,lshift,1,airpods,joycons,airpods,joycons,None,,,,,,,,,,0,7,7,17,,,,,,,,,,,,,,,,,,,56.67088983301073,56.89190775004681,lshift,1,1.952827790984884,56.90948270796798,57.6550097496404,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
13.0,l1,t,es,na,../audio/013.wav,,l1_t_es_na_013,,,,,,,../image/beer.png,../image/wine.png,beer,lshift,1,beer,wine,beer,wine,None,,,,,,,,,,0,8,8,37,,,,,,,,,,,,,,,,,,,58.87812741601374,59.093856457970105,lshift,1,2.9986318331211805,59.125545916031115,59.85343412467434,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
93.0,l1,f,sp,na,../audio/093.wav,,l1_f_sp_na_093,,,,,,,../image/boy.png,../image/book.png,book,rshift,1,book,boy,boy,book,None,,,,,,,,,,0,9,9,32,,,,,,,,,,,,,,,,,,,62.12801191594917,62.34562675002962,rshift,1,1.871691667009145,62.37167899997439,63.10490012466131,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
91.0,l1,f,sp,na,../audio/091.wav,,l1_f_sp_na_091,,,,,,,../image/backpack.png,../image/bracelet.png,bracelet,rshift,1,bracelet,backpack,backpack,bracelet,None,,,,,,,,,,0,10,10,30,,,,,,,,,,,,,,,,,,,64.25546808296349,64.47152129095048,lshift,0,2.01823987509124,64.5049200829817,65.22807212471186,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
12.0,l1,t,es,na,../audio/012.wav,,l1_t_es_na_012,,,,,,,../image/newspaper.png,../image/book.png,book,rshift,1,book,newspaper,newspaper,book,None,,,,,,,,,,0,11,11,36,,,,,,,,,,,,,,,,,,,66.52836583298631,66.7453012909973,rshift,1,2.798144125030376,66.77808025002014,67.50379312463726,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
134.0,l1,t,es,f0u,../audio/134.wav,,l1_t_es_f0u_134,,,,,,,../image/basket.png,../image/truck.png,truck,rshift,1,truck,basket,basket,truck,None,,,,,,,,,,0,12,12,48,,,,,,,,,,,,,,,,,,,69.58236516604666,69.79453695798293,lshift,0,2.56705870910082,69.82537179102656,70.55447499960816,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
87.0,l1,f,sp,na,../audio/087.wav,,l1_f_sp_na_087,,,,,,,../image/desk.png,../image/bed.png,bed,rshift,1,bed,desk,desk,bed,None,,,,,,,,,,0,13,13,26,,,,,,,,,,,,,,,,,,,72.39627645793371,72.61185274994932,rshift,1,2.2628228339599445,72.64421466598287,73.37150979164677,,,,,,,,,,,,,,,065,001,2023-04-26_16h26.14.078,exp_g1,2022.2.5,None,
