participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_key.rt,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_key.keys,exp1_key.corr,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_key.rt,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,"[""lshift""]",[3.6811000000238465],0,0,0,0,1,tr1,lt,tr,en,na,practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,image/kids.png,image/plates.png,kids,lshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,"[""rshift""]",[2.7011000000238425],0,1,1,1,1,tr2,lt,tr,en,na,practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,image/bag.png,image/car.png,car,rshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,"[""lshift""]",[2.808299999952318],0,2,2,2,1,tr3,lt,tr,sp,na,practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,image/dog.png,image/grandma.png,dog,lshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,"[""rshift""]",[2.968499999999999],0,3,3,3,1,tr4,lt,tr,sp,na,practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,image/shirt.png,image/bag.png,bag,rshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,"[""lshift""]",[3.366600000023844],0,4,4,4,1,tr5,lt,tr,se,na,practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,image/donut.png,image/cups.png,donut,lshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,"[""rshift""]",[3.4231000000238367],0,5,5,5,1,tr6,lt,tr,se,na,practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,image/chair.png,image/sweater.png,sweater,rshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,"[""lshift""]",[3.0844000000953713],0,6,6,6,1,tr7,lt,tr,es,na,practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,image/shirt.png,image/wallet.png,shirt,lshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,"[""rshift""]",[2.6033000000715276],0,7,7,7,1,tr8,lt,tr,es,na,practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,image/key.png,image/flipflops.png,flipflops,rshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,128,l2,f,sp,na,audio/128.wav,,l2_f_sp_na_128,,,,,,,image/cups.png,image/kids.png,kids,rshift,,0,0,0,0,32,1,1,kids,cups,cups,kids,,,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,104,l2,f,en,na,audio/104.wav,,l2_f_en_na_104,,,,,,,image/shirt.png,image/bag.png,bag,rshift,rshift,1,0,1,1,8,1,1,bag,shirt,shirt,bag,,1.8828,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,025,l2,t,es,na,audio/025.wav,,l2_t_es_na_025,,,,,,,image/cellphone.png,image/truck.png,cellphone,lshift,rshift,0,0,2,2,39,1,1,cellphone,truck,cellphone,truck,,3.6813,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,029,l2,t,es,na,audio/029.wav,,l2_t_es_na_029,,,,,,,image/armchair.png,image/ring.png,armchair,lshift,lshift,1,0,3,3,43,1,1,armchair,ring,armchair,ring,,3.8531,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,154,l1,t,es,f0c,audio/154.wav,,l1_t_es_f0c_154,,,,,,,image/basket.png,image/truck.png,truck,rshift,rshift,1,0,4,4,48,1,1,truck,basket,basket,truck,,3.4278,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,103,l2,f,en,na,audio/103.wav,,l2_f_en_na_103,,,,,,,image/toys.png,image/sneakers.png,toys,lshift,lshift,1,0,5,5,7,1,1,toys,sneakers,toys,sneakers,,2.3238,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,115,l2,f,se,na,audio/115.wav,,l2_f_se_na_115,,,,,,,image/notebook.png,image/cellphone.png,notebook,lshift,lshift,1,0,6,6,19,1,1,notebook,cellphone,notebook,cellphone,,2.6405,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,098,l2,f,en,na,audio/098.wav,,l2_f_en_na_098,,,,,,,image/man.png,image/woman.png,woman,rshift,rshift,1,0,7,7,2,1,1,woman,man,man,woman,,2.3274,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,159,l1,t,es,f0c,audio/159.wav,,l1_t_es_f0c_159,,,,,,,image/restaurant.png,image/hotel.png,restaurant,lshift,lshift,1,0,8,8,53,1,1,restaurant,hotel,restaurant,hotel,,2.7685,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,125,l2,f,sp,na,audio/125.wav,,l2_f_sp_na_125,,,,,,,image/desk.png,image/bottle.png,desk,lshift,lshift,1,0,9,9,29,1,1,desk,bottle,desk,bottle,,3.0931,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,105,l2,f,en,na,audio/105.wav,,l2_f_en_na_105,,,,,,,image/bed.png,image/plane.png,bed,lshift,lshift,1,0,10,10,9,1,1,bed,plane,bed,plane,,2.457,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,122,l2,f,sp,na,audio/122.wav,,l2_f_sp_na_122,,,,,,,image/desk.png,image/chair.png,chair,rshift,rshift,1,0,11,11,26,1,1,chair,desk,desk,chair,,2.6986,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,109,l2,f,en,na,audio/109.wav,,l2_f_en_na_109,,,,,,,image/fish.png,image/woman.png,fish,lshift,lshift,1,0,12,12,13,1,1,fish,woman,fish,woman,,1.691,,,,,,,,,,,,,,,,,,,,
