num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_sound.started,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,exp2_key.started,exp2_sound.started,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,16.32169308,17.25570417,['lshift'],[1.8359324170160107],,,,,,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,18.20531508,19.17327137,['rshift'],[2.112439666001592],,,,,,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,20.36310529,21.32346667,['lshift'],[1.9816986250225455],,,,,,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,22.38714212,23.35626104,['rshift'],[2.517944040999282],,,,,,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,24.95047629,25.91668992,['lshift'],[2.597298124979716],,,,,,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,27.59221508,28.54997325,['rshift'],[2.5376279579941183],,,,,,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,30.17857871,31.13351333,['lshift'],[2.527285291987937],,,,,,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,32.75223587,33.71632383,['rshift'],[2.290787125006318],,,,,,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
19,l1,t,es,na,../audio/019.wav,,l1_t_es_na_019,,,,,,,../image/boy.png,../image/dog.png,boy,lshift,1,boy,dog,boy,dog,None,,,,,,,,,,0,0,0,43,,,,,,,,,,,,,,,,,41.94659221,lshift,1,-0.352787875,,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
133,l1,t,es,f0u,../audio/133.wav,,l1_t_es_f0u_133,,,,,,,../image/cellphone.png,../image/book.png,cellphone,lshift,1,cellphone,book,cellphone,book,None,,,,,,,,,,0,1,1,47,,,,,,,,,,,,,,,,,41.97511754,lshift,1,2.608014874,42.94936958,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
64,l1,f,en,na,../audio/064.wav,,l1_f_en_na_064,,,,,,,../image/wallet.png,../image/key.png,wallet,lshift,1,wallet,key,wallet,key,None,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,44.62877737,lshift,1,1.938358374,45.58825133,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
135,l1,t,es,f0u,../audio/135.wav,,l1_t_es_f0u_135,,,,,,,../image/flipflops.png,../image/flower.png,flipflops,lshift,1,flipflops,flower,flipflops,flower,None,,,,,,,,,,0,3,3,49,,,,,,,,,,,,,,,,,46.61340604,lshift,1,2.496516375,47.58319187,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
140,l1,t,es,f0u,../audio/140.wav,,l1_t_es_f0u_140,,,,,,,../image/ring.png,../image/bracelet.png,bracelet,rshift,1,bracelet,ring,ring,bracelet,None,,,,,,,,,,0,4,4,54,,,,,,,,,,,,,,,,,49.15759508,rshift,1,3.549694833,50.12182267,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
80,l1,f,se,na,../audio/080.wav,,l1_f_se_na_080,,,,,,,../image/mouse.png,../image/rat.png,mouse,lshift,1,mouse,rat,mouse,rat,None,,,,,,,,,,0,5,5,19,,,,,,,,,,,,,,,,,52.76345479,lshift,1,2.221578833,53.72261612,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
66,l1,f,en,na,../audio/066.wav,,l1_f_en_na_066,,,,,,,../image/bag.png,../image/scarf.png,bag,lshift,1,bag,scarf,bag,scarf,None,,,,,,,,,,0,6,6,5,,,,,,,,,,,,,,,,,55.03469162,lshift,1,2.565590291,55.98970717,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
134,l1,t,es,f0u,../audio/134.wav,,l1_t_es_f0u_134,,,,,,,../image/basket.png,../image/truck.png,truck,rshift,1,truck,basket,basket,truck,None,,,,,,,,,,0,7,7,48,,,,,,,,,,,,,,,,,57.64900379,rshift,1,3.654803666,58.606083,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
85,l1,f,se,na,../audio/085.wav,,l1_f_se_na_085,,,,,,,../image/loafers.png,../image/sneakers.png,sneakers,rshift,1,sneakers,loafers,loafers,sneakers,None,,,,,,,,,,0,8,8,24,,,,,,,,,,,,,,,,,61.35496367,rshift,1,2.782168375,62.31647546,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
72,l1,f,en,na,../audio/072.wav,,l1_f_en_na_072,,,,,,,../image/dog.png,../image/fish.png,dog,lshift,1,dog,fish,dog,fish,None,,,,,,,,,,0,9,9,11,,,,,,,,,,,,,,,,,64.18178029,lshift,1,2.181172666,65.14991492,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
81,l1,f,se,na,../audio/081.wav,,l1_f_se_na_081,,,,,,,../image/boxers.png,../image/sweatpants.png,sweatpants,rshift,1,sweatpants,boxers,boxers,sweatpants,None,,,,,,,,,,0,10,10,20,,,,,,,,,,,,,,,,,66.41415954,lshift,0,3.181973208,67.37243092,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
76,l1,f,se,na,../audio/076.wav,,l1_f_se_na_076,,,,,,,../image/hotdog.png,../image/burger.png,hotdog,lshift,1,hotdog,burger,hotdog,burger,None,,,,,,,,,,0,11,11,15,,,,,,,,,,,,,,,,,69.64980517,lshift,1,2.283365124,70.60590621,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
