num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_cross.started,exp1_trial_key.started,exp1_trial_cross.stopped,exp1_trial_sound.started,exp1_trial_key.stopped,exp1_trial_key.keys,exp1_cross.started,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_cross.stopped,exp1_sound.started,exp1_key.stopped,exp2_trial_cross.started,exp2_trial_key.started,exp2_trial_cross.stopped,exp2_trial_sound.started,exp2_trial_key.stopped,exp2_trial_key.keys,exp2_trial_key.rt,exp2_cross.started,exp2_key.started,exp2_cross.stopped,exp2_sound.started,exp2_key.stopped,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,75.49786283,75.65457246,75.73517779,76.41357163,80.68238067,None,,,,,,,,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,80.68238067,80.90248713,80.92319808,81.66342542,85.93103617,None,,,,,,,,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,85.93103617,86.14696458,86.17016908,86.91483342,91.16960654,None,,,,,,,,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,91.16960654,91.40459046,91.41447558,92.16449725,96.43191638,None,,,,,,,,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,96.43191638,96.65429442,96.67088554,97.40485008,101.6807375,None,,,,,,,,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,101.6807375,101.9019373,101.9296212,102.664031,106.9309676,None,,,,,,,,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,106.9309676,107.153646,107.1711666,107.9139493,112.1806472,None,,,,,,,,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,112.1806472,112.4040428,112.4309681,113.1630236,117.3979603,None,,,,,,,,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
126,l2,f,sp,na,../audio/126.wav,,l2_f_sp_na_126,,,,,,,../image/backpack.png,../image/key.png,key,rshift,1,key,backpack,backpack,key,None,,,,,,,,,,0,0,0,30,,,,,,,,,,,,,,,,,,,160.0083588,160.0465496,lshift,0,[-2.931696917046793],,,,,,,,,,,,,,,,,,28,1,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None
