num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_sound.started,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,exp2_key.started,exp2_sound.started,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,100.73988983302843,101.64668470865969,None,,,,,,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,105.69516104197828,106.64661854168322,None,,,,,,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,110.68810033297632,111.64664112468405,None,,,,,,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,115.6882042500074,116.64555912465245,None,,,,,,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,120.68971250002505,121.64663487469467,None,,,,,,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,125.6958810830256,126.64715308364636,None,,,,,,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,130.6923335000174,131.64687033364706,None,,,,,,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,135.68989629199496,136.6467816666739,None,,,,,,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
131.0,l1,t,es,f0u,../audio/131.wav,,l1_t_es_f0u_131,,,,,,,../image/cat.png,../image/flower.png,cat,lshift,1,cat,flower,cat,flower,None,,,,,,,,,,0,0,0,45,,,,,,,,,,,,,,,,164.94766520801932,lshift,1,-18.79954529204406,,,,,,,,,,052,001,2023-04-20_17h22.04.129,exp_g1,2022.2.5,None,
