num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_cross.started,exp1_trial_key.started,exp1_trial_cross.stopped,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_cross.started,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_cross.stopped,exp1_sound.started,exp2_trial_cross.started,exp2_trial_key.started,exp2_trial_cross.stopped,exp2_trial_sound.started,exp2_trial_key.stopped,exp2_trial_key.keys,exp2_trial_key.rt,exp2_cross.started,exp2_key.started,exp2_cross.stopped,exp2_sound.started,exp2_key.stopped,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,20.55368296,20.71409892,20.80232908,21.4667645,['lshift'],[1.739823209005408],,,,,,,,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,22.49474904,22.70427021,22.73354804,23.46412054,['rshift'],[1.8846971669699997],,,,,,,,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,24.64065329,24.84788483,24.88525721,25.60260625,['lshift'],[1.9005558749195188],,,,,,,,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,26.79047529,27.00448517,27.03400579,27.76433142,['rshift'],[2.2180397500051185],,,,,,,,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,29.27713825,29.48044067,29.52042508,30.23820667,['lshift'],[2.7091047499561682],,,,,,,,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,32.23854537,32.44749837,32.48090054,33.20406867,['rshift'],[2.3115482500288635],,,,,,,,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,34.8060945,35.01376738,35.05447983,35.76979846,['lshift'],[2.7675162920495495],,,,,,,,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,37.82514925,38.03120208,38.07052425,38.787202,['rshift'],[2.0017168329795823],,,,,,,,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
75,l1,f,en,na,../audio/075.wav,,l1_f_en_na_075,,,,,,,../image/dog.png,../image/fish.png,fish,rshift,1,fish,dog,dog,fish,None,,,,,,,,,,0,0,0,14,,,,,,,,,,,,,,,,,,,49.32351446,49.39654317,lshift,0,-0.591874333,,,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
12,l1,t,es,na,../audio/012.wav,,l1_t_es_na_012,,,,,,,../image/newspaper.png,../image/book.png,book,rshift,1,book,newspaper,newspaper,book,None,,,,,,,,,,0,1,1,36,,,,,,,,,,,,,,,,,,,49.42492438,49.63571904,rshift,1,2.46347675,49.66904729,50.39688379,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
72,l1,f,en,na,../audio/072.wav,,l1_f_en_na_072,,,,,,,../image/dog.png,../image/fish.png,dog,lshift,1,dog,fish,dog,fish,None,,,,,,,,,,0,2,2,11,,,,,,,,,,,,,,,,,,,52.14515279,52.35420829,lshift,1,1.877169542,52.38702542,53.10437479,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
82,l1,f,se,na,../audio/082.wav,,l1_f_se_na_082,,,,,,,../image/mickeymouse.png,../image/spongebob.png,mickeymouse,lshift,1,mickeymouse,spongebob,mickeymouse,spongebob,None,,,,,,,,,,0,3,3,21,,,,,,,,,,,,,,,,,,,54.27963912,54.487308,lshift,1,2.227542542,54.52054088,55.24737179,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
86,l1,f,sp,na,../audio/086.wav,,l1_f_sp_na_086,,,,,,,../image/plates.png,../image/glasses.png,plates,lshift,1,plates,glasses,plates,glasses,None,,,,,,,,,,0,4,4,25,,,,,,,,,,,,,,,,,,,56.76073717,56.97089521,lshift,1,1.900351251,57.00361438,57.72116158,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
139,l1,t,es,f0u,../audio/139.wav,,l1_t_es_f0u_139,,,,,,,../image/restaurant.png,../image/hotel.png,restaurant,lshift,1,restaurant,hotel,restaurant,hotel,None,,,,,,,,,,0,5,5,53,,,,,,,,,,,,,,,,,,,58.9295885,59.12053979,lshift,1,2.357301417,59.17010858,59.88067625,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
69,l1,f,en,na,../audio/069.wav,,l1_f_en_na_069,,,,,,,../image/bag.png,../image/shirt.png,shirt,rshift,1,shirt,bag,bag,shirt,None,,,,,,,,,,0,6,6,8,,,,,,,,,,,,,,,,,,,61.52148425,61.73022367,lshift,0,1.94016475,61.76802196,62.48705087,,,,,,,,,,,,,,,70,1,2023-05-05_16h30.18.907,exp_g1,2022.2.5,None
