participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_trial_key.rt,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,0,0,0,0,1,tr1,lt,tr,en,na,practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,image/kids.png,image/plates.png,kids,lshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,"[""lshift""]",0,1,1,1,1,tr2,lt,tr,en,na,practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,image/bag.png,image/car.png,car,rshift,[0.14140000000043074],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,"[""lshift""]",0,2,2,2,1,tr3,lt,tr,sp,na,practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,image/dog.png,image/grandma.png,dog,lshift,[2.4349999999999454],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,"[""lshift""]",0,3,3,3,1,tr4,lt,tr,sp,na,practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,image/shirt.png,image/bag.png,bag,rshift,[3.0170000000000528],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,"[""lshift""]",0,4,4,4,1,tr5,lt,tr,se,na,practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,image/donut.png,image/cups.png,donut,lshift,[3.042500000000018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,"[""rshift""]",0,5,5,5,1,tr6,lt,tr,se,na,practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,image/chair.png,image/sweater.png,sweater,rshift,[2.896200000000249],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,"[""lshift""]",0,6,6,6,1,tr7,lt,tr,es,na,practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,image/shirt.png,image/wallet.png,shirt,lshift,[2.9247000000001435],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,"[""rshift""]",0,7,7,7,1,tr8,lt,tr,es,na,practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,image/key.png,image/flipflops.png,flipflops,rshift,[2.375],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,157,l1,t,es,f0c,audio/157.wav,,l1_t_es_f0c_157,,,,,,,image/jacket.png,image/shirt.png,jacket,lshift,,lshift,1,2.763,0,0,0,51,1,1,jacket,shirt,jacket,shirt,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,153,l1,t,es,f0c,audio/153.wav,,l1_t_es_f0c_153,,,,,,,image/cellphone.png,image/book.png,cellphone,lshift,,lshift,1,2.7087,0,1,1,47,1,1,cellphone,book,cellphone,book,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,108,l2,f,en,na,audio/108.wav,,l2_f_en_na_108,,,,,,,image/scarf.png,image/socks.png,socks,rshift,,rshift,1,2.8076,0,2,2,12,1,1,socks,scarf,scarf,socks,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,128,l2,f,sp,na,audio/128.wav,,l2_f_sp_na_128,,,,,,,image/cups.png,image/kids.png,kids,rshift,,lshift,0,3.3437,0,3,3,32,1,1,kids,cups,cups,kids,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,107,l2,f,en,na,audio/107.wav,,l2_f_en_na_107,,,,,,,image/man.png,image/cat.png,man,lshift,,lshift,1,2.7083,0,4,4,11,1,1,man,cat,man,cat,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,118,l2,f,se,na,audio/118.wav,,l2_f_se_na_118,,,,,,,image/icecream.png,image/donut.png,donut,rshift,,rshift,1,3.3997,0,5,5,22,1,1,donut,icecream,icecream,donut,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,096,l2,f,en,na,audio/096.wav,,l2_f_en_na_096,,,,,,,image/woman.png,image/cat.png,cat,rshift,,rshift,1,2.8259,0,6,6,0,1,1,cat,woman,woman,cat,../image/,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,112,l2,f,se,na,audio/112.wav,,l2_f_se_na_112,,,,,,,image/burger.png,image/hotdog.png,hotdog,rshift,,rshift,1,2.3093,0,7,7,16,1,1,hotdog,burger,burger,hotdog,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,159,l1,t,es,f0c,audio/159.wav,,l1_t_es_f0c_159,,,,,,,image/restaurant.png,image/hotel.png,restaurant,lshift,,lshift,1,3.6228,0,8,8,53,1,1,restaurant,hotel,restaurant,hotel,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,028,l2,t,es,na,audio/028.wav,,l2_t_es_na_028,,,,,,,image/pants.png,image/glasses.png,glasses,rshift,,rshift,1,3.0743,0,9,9,42,1,1,glasses,pants,pants,glasses,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,106,l2,f,en,na,audio/106.wav,,l2_f_en_na_106,,,,,,,image/wallet.png,image/computer.png,computer,rshift,,rshift,1,3.18,0,10,10,10,1,1,computer,wallet,wallet,computer,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,152,l1,t,es,f0c,audio/152.wav,,l1_t_es_f0c_152,,,,,,,image/car.png,image/grandma.png,grandma,rshift,,rshift,1,2.6077,0,11,11,46,1,1,grandma,car,car,grandma,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,027,l2,t,es,na,audio/027.wav,,l2_t_es_na_027,,,,,,,image/shirt.png,image/book.png,shirt,lshift,,lshift,1,2.0583,0,12,12,41,1,1,shirt,book,shirt,book,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,116,l2,f,se,na,audio/116.wav,,l2_f_se_na_116,,,,,,,image/sweatpants.png,image/boxers.png,boxers,rshift,,rshift,1,2.6367,0,13,13,20,1,1,boxers,sweatpants,sweatpants,boxers,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,029,l2,t,es,na,audio/029.wav,,l2_t_es_na_029,,,,,,,image/armchair.png,image/ring.png,armchair,lshift,,lshift,1,2.7913,0,14,14,43,1,1,armchair,ring,armchair,ring,,,,,,,,,,,,,,,,
054,001,2023-10-12_12h40.24.192,exp_g2,2022.2.5,MacIntel,60.0024001,,,,,,,021,l2,t,es,na,audio/021.wav,,l2_t_es_na_021,,,,,,,image/jacket.png,image/flipflops.png,jacket,lshift,,lshift,1,2.2567,0,15,15,35,1,1,jacket,flipflops,jacket,flipflops,,,,,,,,,,,,,,,,
