num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct,exp_num,image,image_alt,left_img,right_img,correct_key,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.rt,exp2_trial_key.started,participant,session,date,expName,psychopyVersion,frameRate,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9.670188250000137,['lshift'],[0.5168300419991283],,,,,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,10.234552750000148,['lshift'],[0.3267197919994942],,,,,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,10.603805833001388,['lshift'],[0.3105824999984179],,,,,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,10.96068275000107,['lshift'],[0.29180775100030587],,,,,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,11.29929654100124,['lshift'],[0.27489533399966604],,,,,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,11.616176083000028,['lshift'],[0.2621716670000751],,,,,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,11.919527208001455,['lshift'],[0.27811983399988094],,,,,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,12.249095125000167,['lshift'],[0.25204616699920734],,,,,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
95.0,l1,f,sp,na,../audio/095.wav,,l1_f_sp_na_095,,,,,,,../image/socks.png,../image/key.png,key,,1,key,socks,socks,key,r,None,,,,,,,,,0,0,0,34,,,,,,,,,,,,15.912654833000488,['lshift'],[0.5028623339985643],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
90.0,l1,f,sp,na,../audio/090.wav,,l1_f_sp_na_090,,,,,,,../image/bag.png,../image/bottle.png,bag,,1,bag,bottle,bag,bottle,l,None,,,,,,,,,0,1,1,29,,,,,,,,,,,,16.46500237500004,['lshift'],[0.2489983340001345],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
17.0,l1,t,es,na,../audio/017.wav,,l1_t_es_na_017,,,,,,,../image/jug.png,../image/cat.png,jug,,1,jug,cat,jug,cat,l,None,,,,,,,,,0,2,2,41,,,,,,,,,,,,16.76194645800024,['lshift'],[0.2789923339987581],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
66.0,l1,f,en,na,../audio/066.wav,,l1_f_en_na_066,,,,,,,../image/bag.png,../image/scarf.png,bag,,1,bag,scarf,bag,scarf,l,None,,,,,,,,,0,3,3,5,,,,,,,,,,,,17.084077625000646,['lshift'],[0.23558237600082066],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
87.0,l1,f,sp,na,../audio/087.wav,,l1_f_sp_na_087,,,,,,,../image/desk.png,../image/bed.png,bed,,1,bed,desk,desk,bed,r,None,,,,,,,,,0,4,4,26,,,,,,,,,,,,17.367169750001267,['lshift'],[0.2682189589995687],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
86.0,l1,f,sp,na,../audio/086.wav,,l1_f_sp_na_086,,,,,,,../image/plates.png,../image/glasses.png,plates,,1,plates,glasses,plates,glasses,l,None,,,,,,,,,0,5,5,25,,,,,,,,,,,,17.680228250001164,['lshift'],[0.2610198339989438],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
73.0,l1,f,en,na,../audio/073.wav,,l1_f_en_na_073,,,,,,,../image/socks.png,../image/tshirt.png,tshirt,,1,tshirt,socks,socks,tshirt,r,None,,,,,,,,,0,6,6,12,,,,,,,,,,,,17.98316770800011,['lshift'],[0.25794616699931794],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
19.0,l1,t,es,na,../audio/019.wav,,l1_t_es_na_019,,,,,,,../image/boy.png,../image/dog.png,boy,,1,boy,dog,boy,dog,l,None,,,,,,,,,0,7,7,43,,,,,,,,,,,,18.287728125000285,['lshift'],[0.2887961249980435],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
78.0,l1,f,se,na,../audio/078.wav,,l1_f_se_na_078,,,,,,,../image/airpods.png,../image/joycons.png,airpods,,1,airpods,joycons,airpods,joycons,l,None,,,,,,,,,0,8,8,17,,,,,,,,,,,,18.620435916000133,['lshift'],[0.305293793000601],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
16.0,l1,t,es,na,../audio/016.wav,,l1_t_es_na_016,,,,,,,../image/flipflops.png,../image/bag.png,bag,,1,bag,flipflops,flipflops,bag,r,None,,,,,,,,,0,9,9,40,,,,,,,,,,,,18.973745541001335,['lshift'],[0.28345404299943766],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
140.0,l1,t,es,f0u,../audio/140.wav,,l1_t_es_f0u_140,,,,,,,../image/ring.png,../image/bracelet.png,bracelet,,1,bracelet,ring,ring,bracelet,r,None,,,,,,,,,0,10,10,54,,,,,,,,,,,,19.296930166001403,['lshift'],[0.2942807500003255],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
138.0,l1,t,es,f0u,../audio/138.wav,,l1_t_es_f0u_138,,,,,,,../image/pants.png,../image/shirt.png,shirt,,1,shirt,pants,pants,shirt,r,None,,,,,,,,,0,11,11,52,,,,,,,,,,,,19.640920333000395,['lshift'],[0.2936378340000374],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
15.0,l1,t,es,na,../audio/015.wav,,l1_t_es_na_015,,,,,,,../image/glasses.png,../image/jacket.png,glasses,,1,glasses,jacket,glasses,jacket,l,None,,,,,,,,,0,12,12,39,,,,,,,,,,,,19.977970333000485,['lshift'],[0.2839895010001783],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
62.0,l1,f,en,na,../audio/062.wav,,l1_f_en_na_062,,,,,,,../image/shoe.png,../image/ring.png,shoe,,1,shoe,ring,shoe,ring,l,None,,,,,,,,,0,13,13,1,,,,,,,,,,,,20.305046541001502,['lshift'],[0.30235341699881246],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
135.0,l1,t,es,f0u,../audio/135.wav,,l1_t_es_f0u_135,,,,,,,../image/flipflops.png,../image/flower.png,flipflops,,1,flipflops,flower,flipflops,flower,l,None,,,,,,,,,0,14,14,49,,,,,,,,,,,,20.652565958000196,['lshift'],[0.32951704199876986],,334111,001,2023-04-03_13h55.48.013,exp_g1,2022.2.5,None,
