num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct,exp_num,image,image_alt,left_img,right_img,correct_key,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.rt,exp2_trial_key.started,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_sound.started,participant,session,date,expName,psychopyVersion,frameRate,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,10.626085040999897,['lshift'],[0.26047366700004204],,,,,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,10.929003458000807,['lshift'],[0.10261141800037876],,,,,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,11.075039375000415,['lshift'],[0.07983862499895622],,,,,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,11.185985624999375,['lshift'],[0.11919604200011236],,,,,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,11.345445208000456,['lshift'],[0.09892108400163124],,,,,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,11.486358124999242,['lshift'],[0.09944675099904998],,,,,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,11.62006745799954,['lshift'],[0.12091366699860373],,,,,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,11.788786249999248,['lshift'],[0.09542795900051715],,,,,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
138.0,l1,t,es,f0u,../audio/138.wav,,l1_t_es_f0u_138,,,,,,,../image/pants.png,../image/shirt.png,shirt,,1,shirt,pants,pants,shirt,r,None,,,,,,,,,0,0,0,52,,,,,,,,,,,,15.148484833000111,['lshift'],[-3.1444347070009826],,,,,351581,001,2023-04-03_13h48.22.500,exp_g1,2022.2.5,None,
