num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,12.534333333998802,13.467773958666173,['lshift'],[1.6238275820069248],,,,,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,14.205738749995362,,['lshift'],[0.22554895800567465],,,,,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,14.477376625000034,,['lshift'],[0.2368473750029807],,,,,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,14.756660749997536,,['lshift'],[0.19689508200826822],,,,,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,15.003776999998081,,['lshift'],[0.14371191600366728],,,,,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,15.189123958996788,,['lshift'],[0.386312665999867],,,,,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,15.622131166994222,,['lshift'],[0.2259337490031612],,,,,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,15.891254833994026,,['lshift'],[0.1516287490085233],,,,,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
12.0,l1,t,es,na,../audio/012.wav,,l1_t_es_na_012,,,,,,,../image/newspaper.png,../image/book.png,book,lshift,1,book,newspaper,newspaper,book,None,,,,,,,,,0,0,0,36,,,,,,,,,,,,,17.33592237499397,lshift,1,-1.149666500998137,,,,,358659,001,2023-04-05_13h34.20.886,exp_g1,2022.2.5,None,
