num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp_num,image,image_alt,left_img,right_img,correct_key,image_dir,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_sound.started,participant,session,date,expName,psychopyVersion,frameRate,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,0,0,0,0,0,0,0,0,,,,,,,,,,,,20.72181237499899,21.64833995866526,['lshift'],[2.929258750000372],,,468083,001,2023-04-03_13h42.18.305,exp_g1,2022.2.5,None,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,0,0,0,0,0,1,1,1,,,,,,,,,,,,23.703578208998806,24.66478816666519,['rshift'],[4.604924625000422],,,468083,001,2023-04-03_13h42.18.305,exp_g1,2022.2.5,None,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,0,0,0,0,0,2,2,2,,,,,,,,,,,,28.387560208999275,,['rshift'],[0.13189704199976404],,,468083,001,2023-04-03_13h42.18.305,exp_g1,2022.2.5,None,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,0,0,0,0,0,3,3,3,,,,,,,,,,,,28.55463999999847,29.53037129166502,['rshift'],[3.190548458000194],,,468083,001,2023-04-03_13h42.18.305,exp_g1,2022.2.5,None,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,0,0,0,0,0,4,4,4,,,,,,,,,,,,31.7956035419993,32.75843741666564,['lshift'],[2.7573297919989272],,,468083,001,2023-04-03_13h42.18.305,exp_g1,2022.2.5,None,
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,0,0,0,0,0,5,5,5,,,,,,,,,,,,34.605743791998975,,['lshift'],[0.7079186669998307],,,468083,001,2023-04-03_13h42.18.305,exp_g1,2022.2.5,None,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,0,0,0,0,0,6,6,6,,,,,,,,,,,,35.35850699999901,,['lshift'],[0.11001629199927265],,,468083,001,2023-04-03_13h42.18.305,exp_g1,2022.2.5,None,
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,0,0,0,0,0,7,7,7,,,,,,,,,,,,35.51241320899862,,['lshift'],[0.14596987500044634],,,468083,001,2023-04-03_13h42.18.305,exp_g1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,468083,001,2023-04-03_13h42.18.305,exp_g1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.767687666999336,38.62903054166624,,,,,,,
