num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct,exp_num,image,image_alt,left_img,right_img,correct_key,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.rt,exp1_sound.started,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.stopped,participant,session,date,expName,psychopyVersion,frameRate,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,11.86040179200063,['lshift'],[0.3816250419986318],,,,,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,12.287739458000942,['lshift'],[0.10990366699843435],,,,,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,12.437474833001033,['lshift'],[0.14957908399992448],,,,,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,12.630366583000068,['lshift'],[0.2209290829996462],,,,,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,12.904645333001099,['lshift'],[0.24185237499841605],,,,,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,13.19093341700136,['lshift'],[0.18332937599916477],,,,,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,13.421643083000163,['lshift'],[0.20240383300006215],,,,,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,13.667537332999927,['lshift'],[0.202938999998878],,,,,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
133.0,l1,t,es,f0u,../audio/133.wav,,l1_t_es_f0u_133,,,,,,,../image/cellphone.png,../image/book.png,cellphone,,1,cellphone,book,cellphone,book,l,None,,,,,,,,,0,0,0,47,,,,,,,,,,,,16.054906125000343,['lshift'],[-1.9330846660013776],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
80.0,l1,f,se,na,../audio/080.wav,,l1_f_se_na_080,,,,,,,../image/mouse.png,../image/rat.png,mouse,,1,mouse,rat,mouse,rat,l,None,,,,,,,,,0,1,1,19,,,,,,,,,,,,16.079689916999996,['lshift'],[0.9662987919982697],17.06262054166679,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
135.0,l1,t,es,f0u,../audio/135.wav,,l1_t_es_f0u_135,,,,,,,../image/flipflops.png,../image/flower.png,flipflops,,1,flipflops,flower,flipflops,flower,l,None,,,,,,,,,0,2,2,49,,,,,,,,,,,,17.087092042000222,['lshift'],[0.20956458399996336],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
140.0,l1,t,es,f0u,../audio/140.wav,,l1_t_es_f0u_140,,,,,,,../image/ring.png,../image/bracelet.png,bracelet,,1,bracelet,ring,ring,bracelet,r,None,,,,,,,,,0,3,3,54,,,,,,,,,,,,17.34186850000151,['lshift'],[0.20504374999836728],,,,,584883,001,2023-04-03_13h57.30.334,exp_g1,2022.2.5,None,
