num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,12.686623708003026,['lshift'],[0.42282045900356025],,,,,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,13.156641708003008,['lshift'],[0.22528800000145566],,,,,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,13.436774125002557,['lshift'],[0.10643200000049546],,,,,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,13.572616582998307,['lshift'],[0.24668829100119183],,,,,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,13.869474083003297,['lshift'],[0.24074724999809405],,,,,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,14.157506415998796,['lshift'],[0.17350629199791],,,,,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,14.379039166000439,['lshift'],[0.20515562500077067],,,,,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,14.63715237499855,['lshift'],[0.18945979200361762],,,,,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
136.0,l1,t,es,f0u,../audio/136.wav,,l1_t_es_f0u_136,,,,,,,../image/city.png,../image/village.png,village,lshift,1,village,city,city,village,None,,,,,,,,,0,0,0,50,,,,,,,,,,,,16.463451875002647,lshift,1,-1.3703784579993226,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
