num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.stopped,participant,session,date,expName,psychopyVersion,frameRate,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,11.577631957996346,['lshift'],[0.5156815010050195],,,,,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,12.14590104099625,['lshift'],[0.29150091700284975],,,,,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,12.484753625001758,['lshift'],[0.3562717500026338],,,,,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,12.880840625002747,['lshift'],[0.3278535830031615],,,,,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,13.253680415997223,['lshift'],[0.31865675099834334],,,,,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,13.616179208001995,['lshift'],[0.34880837500531925],,,,,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,14.009553875002894,['lshift'],[0.3675600420028786],,,,,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,14.428071665999596,['lshift'],[0.325797124998644],,,,,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
85.0,l1,f,se,na,../audio/085.wav,,l1_f_se_na_085,,,,,,,../image/loafers.png,../image/sneakers.png,sneakers,rshift,1,sneakers,loafers,loafers,sneakers,None,,,,,,,,,0,0,0,24,,,,,,,,,,,,16.480338957997446,lshift,0,0.3773752510023769,,,,965154,001,2023-04-04_19h21.58.866,exp_g1,2022.2.5,None,
