num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_sound.started,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,159.3577687080251,160.2192616409273,['lshift'],[2.4687004170846194],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,161.8575275830226,162.835846600018,['rshift'],[2.4849540010327473],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,164.37624391599093,165.3521785580204,None,,,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,169.37142420792952,170.3523844329291,['rshift'],[3.793119709007442],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,173.19784924993291,174.17154364091112,['lshift'],[3.2041027080267668],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,176.4352278750157,177.41071955790977,['rshift'],[2.9884492501150817],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,179.4560346249491,180.43915639097105,['lshift'],[2.9984762499807402],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,182.48938904097304,183.46869939101163,['rshift'],[2.659893501084298],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,252.60115349991247,253.55154664093862,['lshift'],[3.152919334010221],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,,,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,255.78970399999525,256.7683664329932,['rshift'],[4.118303208029829],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,,,,,,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,259.93975129094906,260.91810926598265,['lshift'],[2.341029708040878],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,,,,,,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,262.3090816249605,263.29097959994107,['rshift'],[2.7383533329702914],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,,,,,,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,265.07863929099403,266.0513435999281,['lshift'],[2.8194523330312222],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,,,,,,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,267.92935229092836,268.9090523909661,['rshift'],[2.8680895421421155],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,,,,,,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,270.82811958296224,271.8032604749431,['lshift'],[2.6236156249651685],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,,,,,,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,273.4869845829671,,['rshift'],[0.7127897080499679],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,426.5409718749579,,['rshift'],[0.2754402920836583],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,,,,,,,2,0,2,0,0,1,1,1,,,,,,,,,,,,,426.845710207941,,['lshift'],[0.05290804209653288],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,,,,,,,2,0,2,0,0,2,2,2,,,,,,,,,,,,,426.9291201250162,,['rshift'],[0.06661712506320328],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,,,,,,,2,0,2,0,0,3,3,3,,,,,,,,,,,,,427.02404099993873,,['lshift'],[0.07238641707226634],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,,,,,,,2,0,2,0,0,4,4,4,,,,,,,,,,,,,427.12842124991585,,['rshift'],[0.019128500018268824],,,,,,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
