item,target,tutorial_trials.thisRepN,tutorial_trials.thisTrialN,tutorial_trials.thisN,tutorial_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,key_continue.started,mic_2.started,key_continue.keys,key_continue.rt,mic_2.clip,text_instr.started,key_instr.started,key_instr.keys,key_instr.rt,key_tutorial.started,text.started,text_start.started,key_resp.started,key_resp.keys,key_resp.rt,text_trial.started,key_resp_2.started,mic.started,key_resp_2.keys,key_resp_2.rt,mic.clip,text_end.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,79.54230777900011,79.54230777900011,3.7824996979907155e-05,space,3.504791939001734,,,,,,,,,,,,,,,,,,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
,,,,,,,,,,,,,,,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_2_recorded/recording_mic_2_2022-11-09_15h44.34.477.wav,83.22344606600018,83.22344606600018,space,15.87902868799938,,,,,,,,,,,,,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
I want to order Chinese food.,,0,0,0,0,,,,,,,,,,,,,,,99.13588886100115,99.13588886100115,,,,,,,,,,,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
Manuel lava la ropa.,,0,1,1,1,,,,,,,,,,,,,,,106.79784248500073,106.79784248500073,,,,,,,,,,,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,111.13538952800081,111.13538952800081,space,3.7069993799996155,,,,,,,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
This tastes great.,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,127.42519353799798,127.42519353799798,0.017141645999799948,space,6.1801753229992755,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h45.25.037.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
Se me olvidó lavar los platos.,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,136.02286181999807,136.02286181999807,0.005516256998816971,space,3.9568760129986913,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h45.31.410.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
I like those pantalones.,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,142.36191217799933,142.36191217799933,0.003941940001823241,space,4.5051863430016965,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h45.38.302.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
¿Por qué le regalaste tus gafas?,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,149.1788634959994,149.1788634959994,0.00797346000035759,space,4.986147505998815,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h45.45.603.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
Mi número de teléfono es 969-009-5674.,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,156.52698598799907,156.52698598799907,0.010653312998329056,space,7.785017095000512,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h45.55.742.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
"¿Y tú, qué te gustaría tomar?",0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,166.49618650100092,166.49618650100092,0.006111001999670407,space,5.453389768998022,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h46.03.384.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
I overslept.,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,174.34275544100092,174.34275544100092,0.003998774001956917,space,2.9799345259998518,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h46.08.759.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
What is the dog doing?,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,179.58642918899932,179.58642918899932,0.0037194389988144394,space,3.3168996579988743,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h46.14.335.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
Las tortillas están on sale.,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,185.3889919889989,185.3889919889989,0.005441159999463707,space,4.792771616001119,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h46.21.618.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
Why do you like my gatos?,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,192.54559584299932,192.54559584299932,0.003624352000770159,space,4.334438219997537,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h46.28.317.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
I overslept.,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,199.53971166499832,199.53971166499832,0.00325553099901299,space,3.160033829997701,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h46.34.134.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
Gracias pero no tengo hambre.,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,204.57582254199951,204.57582254199951,0.006409994999557966,space,3.792887209001492,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h46.39.800.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
What’s your zip code?,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,210.96161592700082,210.96161592700082,0.006815456999902381,space,3.865742047997628,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h46.46.258.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
Where can we find your abuela?,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,217.38472173500122,217.38472173500122,0.004035541998746339,space,5.555953209001018,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h46.54.375.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
I feel like to have some ice-cream.,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,225.12700237399986,225.12700237399986,0.004177653001534054,space,5.498528059000819,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h47.02.057.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
Hace mucho sol hoy.,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,233.05372328999874,233.05372328999874,0.005164165999303805,space,4.2280719069967745,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h47.08.717.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
How did he get his móvil?,1,,,,,0,16,16,16,,,,,,,,,,,,,,,,,239.4683182669978,239.4683182669978,0.0042410099995322526,space,3.9664454980011215,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h47.14.866.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
Everything in my fridge están mal.,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,245.85735521699826,245.85735521699826,0.004271788999176351,space,4.546318032000272,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h47.21.840.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
Who is the girl’s father?,1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,252.58988096100074,252.58988096100074,0.0042549890022201,space,3.8387451070011593,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h47.27.866.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
Where is my wallet?,1,,,,,0,19,19,19,,,,,,,,,,,,,,,,,258.68442741299805,258.68442741299805,0.003560684999683872,space,2.709392000997468,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h47.32.833.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
"No, that's not what I ordered.",0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,263.69217579999895,263.69217579999895,0.0037372799997683614,space,4.405135494002025,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/Alejandro_pilot_production_2022-11-09_15h44.20.942_mic_recorded/recording_mic_2022-11-09_15h47.39.532.wav,,Alejandro,001,2022-11-09_15h44.20.942,pilot_production,2022.2.4,None,
