item,target,tutorial_trials.thisRepN,tutorial_trials.thisTrialN,tutorial_trials.thisN,tutorial_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_intro.started,key_continue.started,mic_2.started,key_continue.keys,key_continue.rt,mic_2.clip,text_instr.started,key_instr.started,key_instr.keys,key_instr.rt,key_tutorial.started,text.started,text_start.started,key_resp.started,key_resp.keys,key_resp.rt,text_trial.started,key_resp_2.started,mic.started,key_resp_2.keys,key_resp_2.rt,mic.clip,text_end.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,18.252735374000622,18.252735374000622,4.5314001908991486e-05,space,3.3241010079946136,,,,,,,,,,,,,,,,,,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
,,,,,,,,,,,,,,,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/b _pilot_production_2022-11-07_11h59.06.403_mic_2_recorded/recording_mic_2_2022-11-07_11h59.18.250.wav,21.777147865999723,21.777147865999723,space,0.5225937899958808,,,,,,,,,,,,,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
I want to order Chinese food.,,0,0,0,0,,,,,,,,,,,,,,,22.332068631003494,22.332068631003494,,,,,,,,,,,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
Manuel lava la ropa.,,0,1,1,1,,,,,,,,,,,,,,,23.03753841899743,23.03753841899743,,,,,,,,,,,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,24.422116321999056,24.422116321999056,space,0.8512257729962585,,,,,,,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
This tastes great.,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,27.37036781899951,27.37036781899951,0.014872926003590692,space,0.9236432339966996,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/b _pilot_production_2022-11-07_11h59.06.403_mic_recorded/recording_mic_2022-11-07_11h59.24.949.wav,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
Se me olvidó lavar los platos.,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,30.416279137003585,30.416279137003585,0.00502456499816617,space,1.385203260993876,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/b _pilot_production_2022-11-07_11h59.06.403_mic_recorded/recording_mic_2022-11-07_11h59.28.454.wav,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
I like those pantalones.,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,33.792813874002604,33.792813874002604,0.004283645001123659,space,3.5078421519938274,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/b _pilot_production_2022-11-07_11h59.06.403_mic_recorded/recording_mic_2022-11-07_11h59.33.956.wav,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
¿Por qué le regalaste tus gafas?,1,,,,,0,3,3,3,,,,,,,,,,,,,,,,,39.292753604997415,39.292753604997415,0.008833351996145211,space,2.717436752995127,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/b _pilot_production_2022-11-07_11h59.06.403_mic_recorded/recording_mic_2022-11-07_11h59.38.665.wav,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
Mi número de teléfono es 969-009-5674.,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,44.20996085200022,44.20996085200022,0.016984226000204217,space,2.1069441309955437,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/b _pilot_production_2022-11-07_11h59.06.403_mic_recorded/recording_mic_2022-11-07_11h59.42.972.wav,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
"¿Y tú, qué te gustaría tomar?",0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,48.30168452000362,48.30168452000362,0.006407834000128787,space,2.5922060959928785,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/b _pilot_production_2022-11-07_11h59.06.403_mic_recorded/recording_mic_2022-11-07_11h59.47.548.wav,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
I overslept.,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,53.119740624999395,53.119740624999395,0.0038009060008334927,space,2.468852843994682,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/b _pilot_production_2022-11-07_11h59.06.403_mic_recorded/recording_mic_2022-11-07_11h59.52.248.wav,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
What is the dog doing?,1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,57.70867791600176,57.70867791600176,0.004153720001340844,space,2.1682231499944464,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/b _pilot_production_2022-11-07_11h59.06.403_mic_recorded/recording_mic_2022-11-07_11h59.56.530.wav,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
Las tortillas están on sale.,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,62.01512923100381,62.01512923100381,0.005230611997831147,space,1.744534906996705,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/b _pilot_production_2022-11-07_11h59.06.403_mic_recorded/recording_mic_2022-11-07_12h00.00.415.wav,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
Why do you like my gatos?,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,65.78455431100156,65.78455431100156,0.0035916909982915968,space,2.0657521069952054,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/b _pilot_production_2022-11-07_11h59.06.403_mic_recorded/recording_mic_2022-11-07_12h00.04.505.wav,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
I overslept.,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,69.86535476700374,69.86535476700374,0.003577328003302682,space,2.5716479839975364,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/b _pilot_production_2022-11-07_11h59.06.403_mic_recorded/recording_mic_2022-11-07_12h00.09.097.wav,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
Gracias pero no tengo hambre.,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,74.55955880400143,74.55955880400143,0.006450719003623817,space,4.8659420269978,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/b _pilot_production_2022-11-07_11h59.06.403_mic_recorded/recording_mic_2022-11-07_12h00.16.081.wav,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
What’s your zip code?,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,81.7622935870022,81.7622935870022,0.0071140460058813915,space,5.600550780996855,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/b _pilot_production_2022-11-07_11h59.06.403_mic_recorded/recording_mic_2022-11-07_12h00.24.021.wav,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
Where can we find your abuela?,1,,,,,0,13,13,13,,,,,,,,,,,,,,,,,89.61425903499912,89.61425903499912,0.004307599003368523,space,2.064491602999624,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/b _pilot_production_2022-11-07_11h59.06.403_mic_recorded/recording_mic_2022-11-07_12h00.28.337.wav,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
I feel like to have some ice-cream.,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,93.47541311600071,93.47541311600071,0.004904401001113001,space,2.5316128299964475,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/b _pilot_production_2022-11-07_11h59.06.403_mic_recorded/recording_mic_2022-11-07_12h00.32.663.wav,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
Hace mucho sol hoy.,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,98.20899824699882,98.20899824699882,0.005566453000938054,space,2.2427786759944865,/Users/gabmac/Documents/RU/QP/exp/pilot/pilot_production/data/b _pilot_production_2022-11-07_11h59.06.403_mic_recorded/recording_mic_2022-11-07_12h00.37.113.wav,,b ,001,2022-11-07_11h59.06.403,pilot_production,2022.2.4,None,
