"","num","list","type","exp1_key.keys","exp1_key.rt","exp1_key.corr","participant","group","cor_rate"
"1","13.0","l1","na","lshift",-0.395213707932271,1,"KF2","exp_g1",0.95
"2","16.0","l1","na","rshift",3.65047820803011,1,"KF2","exp_g1",0.95
"3","11.0","l1","na","None",NA,0,"KF2","exp_g1",0.95
"4","140.0","l1","f0u","rshift",3.32167558401125,1,"KF2","exp_g1",0.95
"5","134.0","l1","f0u","rshift",2.9510453750263,1,"KF2","exp_g1",0.95
"6","138.0","l1","f0u","rshift",3.03737404203275,1,"KF2","exp_g1",0.95
"7","12.0","l1","na","rshift",3.28050591703504,1,"KF2","exp_g1",0.95
"8","139.0","l1","f0u","lshift",3.38255837501492,1,"KF2","exp_g1",0.95
"9","19.0","l1","na","lshift",3.69024133303901,1,"KF2","exp_g1",0.95
"10","137.0","l1","f0u","lshift",3.63403233402641,1,"KF2","exp_g1",0.95
"11","131.0","l1","f0u","lshift",3.58187995804474,1,"KF2","exp_g1",0.95
"12","14.0","l1","na","rshift",2.85973958304385,1,"KF2","exp_g1",0.95
"13","20.0","l1","na","rshift",3.01887404202716,1,"KF2","exp_g1",0.95
"14","135.0","l1","f0u","lshift",3.00947341602296,1,"KF2","exp_g1",0.95
"15","133.0","l1","f0u","lshift",4.0993276660447,1,"KF2","exp_g1",0.95
"16","132.0","l1","f0u","rshift",2.85797462501796,1,"KF2","exp_g1",0.95
"17","17.0","l1","na","lshift",3.41857583302772,1,"KF2","exp_g1",0.95
"18","15.0","l1","na","lshift",3.00372737500584,1,"KF2","exp_g1",0.95
"19","136.0","l1","f0u","rshift",4.18620741699124,1,"KF2","exp_g1",0.95
"20","18.0","l1","na","rshift",2.98492608306697,1,"KF2","exp_g1",0.95
