stim,word,correct_response,prac_button_real,prac_button_false,button_real,button_false,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,text.started,key_resp.started,key_resp.keys,key_resp.rt,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,frameRate,
0,pretantas,0,REAL,FAKE,,,0,0,0,11,,,,,0,1,3.466943125000398,,,,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
0,bien,1,REAL,FAKE,,,0,1,1,8,,,,,1,1,0.8368725000000268,,,,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
0,calpar,0,REAL,FAKE,,,0,2,2,3,,,,,1,0,1.0127547080010117,,,,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
0,sacapuntas,1,REAL,FAKE,,,0,3,3,5,,,,,0,0,1.2376933320010721,,,,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
0,joten,0,REAL,FAKE,,,0,4,4,4,,,,,0,1,0.8955247500016412,,,,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
0,priba,0,REAL,FAKE,,,0,5,5,6,,,,,0,1,0.9349489990017901,,,,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
0,coné,0,REAL,FAKE,,,0,6,6,2,,,,,0,1,0.8236137910025718,,,,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
0,pelasula,0,REAL,FAKE,,,0,7,7,7,,,,,0,1,1.0691774580009223,,,,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
0,lejo,0,REAL,FAKE,,,0,8,8,10,,,,,0,1,0.7862922080021235,,,,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
0,sí,1,REAL,FAKE,,,0,9,9,1,,,,,1,1,0.587878874001035,,,,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
0,casa,1,REAL,FAKE,,,0,10,10,9,,,,,1,1,0.5283693329984089,,,,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
0,depiste,0,REAL,FAKE,,,0,11,11,0,,,,,0,1,0.7290662070008693,,,,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
54,fomentar,1,,,REAL,FAKE,,,,,0,0,0,53,,,,0,0,1.1950708320036938,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
31,pandilla,1,,,REAL,FAKE,,,,,0,1,1,30,,,,1,1,-0.36920575099793496,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
4,batillón,0,,,REAL,FAKE,,,,,0,2,2,3,,,,1,0,-0.4218436669980292,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
59,besar,1,,,REAL,FAKE,,,,,0,3,3,58,,,,1,1,-0.4882640839969099,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
58,plaudir,0,,,REAL,FAKE,,,,,0,4,4,57,,,,0,1,-0.4752518749992305,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
10,antar,0,,,REAL,FAKE,,,,,0,5,5,9,,,,1,0,-0.3831787089984573,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
1,terzo,0,,,REAL,FAKE,,,,,0,6,6,0,,,,1,0,-0.4328890840006352,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
44,cuchara,1,,,REAL,FAKE,,,,,0,7,7,43,,,,1,1,-0.4983067929970275,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
60,matar,1,,,REAL,FAKE,,,,,0,8,8,59,,,,0,0,-0.45195766699907836,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
74,cintro,0,,,REAL,FAKE,,,,,0,9,9,73,,,,0,1,-0.45510412599833217,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
5,zapato,1,,,REAL,FAKE,,,,,0,10,10,4,,,,0,0,-0.484418875999836,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
36,loro,1,,,REAL,FAKE,,,,,0,11,11,35,,,,1,1,-0.35388383399913437,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
83,guante,1,,,REAL,FAKE,,,,,0,12,12,82,,,,1,1,-0.35532720899936976,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
52,camisa,1,,,REAL,FAKE,,,,,0,13,13,51,,,,1,1,-0.3526233760021569,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
24,látigo,1,,,REAL,FAKE,,,,,0,14,14,23,,,,1,1,-0.3728052510014095,,,,,JS1,,2023-04-04_13h02.46.530,empathy_lextale_comb,2022.2.5,None,
